gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.156,359,336,390,754,742,369
MSTRG.159,0,0,0,80,34,27
MSTRG.160,39,48,78,497,356,215
MSTRG.162,13,7,38,168,161,97
MSTRG.161,247,484,588,1358,1042,802
MSTRG.163,207,148,232,11,19,8
MSTRG.164,357,441,606,1018,866,699
MSTRG.165,4,11,2,3,5,2
MSTRG.167,124,223,298,12,30,22
MSTRG.168,69,146,182,489,432,325
MSTRG.170,7,6,14,5,2,2
MSTRG.171,52,66,80,200,186,91
MSTRG.174,16,0,0,33,19,12
MSTRG.175,9,0,0,9,9,5
MSTRG.177,13,0,4,2,4,0
gene-QOZ80_1AG0002670,1,5,6,3,4,5
MSTRG.179,0,22,0,7,10,3
MSTRG.178,40,68,117,475,369,195
MSTRG.180,107,16,58,288,314,139
MSTRG.182,50,33,24,542,434,181
MSTRG.184,310,186,182,1071,1455,524
gene-QOZ80_1AG0002880,0,0,13,2,1,0
MSTRG.185,148,192,264,451,309,271
gene-QOZ80_1AG0002900,1,9,0,2,0,5
MSTRG.186,75,169,74,380,311,268
MSTRG.187,18,56,6,74,106,65
MSTRG.188,0,11,22,191,222,116
MSTRG.189,19,97,38,300,355,252
MSTRG.190,419,586,588,380,348,436
MSTRG.191,62,16,40,21,45,8
MSTRG.192,475,400,504,792,703,527
MSTRG.194,20,21,29,7,8,9
MSTRG.195,20,21,104,97,73,100
MSTRG.193,508,537,422,1428,1405,1100
MSTRG.196,82,39,32,102,65,52
MSTRG.197,50,60,96,109,133,53
MSTRG.199,20,23,0,37,36,34
MSTRG.200,0,18,35,39,39,23
MSTRG.201,32,84,21,139,112,91
MSTRG.204,12,0,0,5,0,2
MSTRG.202,162,175,349,144,192,95
MSTRG.206,0,0,0,6,14,2
MSTRG.205,138,182,183,28,41,80
gene-QOZ80_1AG0003280,0,0,0,29,20,22
MSTRG.207,265,546,343,1327,1000,638
MSTRG.208,755,1516,1252,3385,3415,2708
MSTRG.209,117,99,148,321,303,185
MSTRG.210,63,65,85,210,282,183
MSTRG.212,0,0,11,0,0,0
MSTRG.213,6,13,11,14,8,0
MSTRG.211,100,181,136,1371,976,659
MSTRG.214,794,970,831,495,581,399
MSTRG.215,88,27,28,980,827,642
MSTRG.216,1279,1782,1681,6400,4918,3222
MSTRG.217,774,793,923,2960,2380,1714
MSTRG.218,202,260,245,694,634,499
MSTRG.219,0,0,2,81,83,78
MSTRG.220,5,17,1,6,4,7
MSTRG.222,3,0,9,1,1,1
MSTRG.221,1267,1664,1617,2768,2164,1523
MSTRG.223,1205,1269,1240,1708,2459,858
gene-QOZ80_1AG0003510,0,0,2,22,25,10
MSTRG.224,25,21,31,15,24,13
MSTRG.225,463,703,1028,313,386,163
MSTRG.227,204,171,269,1869,1511,989
MSTRG.229,87,169,69,483,548,321
MSTRG.231,53,56,83,334,267,245
MSTRG.232,0,0,0,0,0,0
MSTRG.234,15,0,0,6,6,0
MSTRG.235,13,16,14,47,38,16
MSTRG.233,82,226,169,3226,3199,1583
gene-QOZ80_1AG0003660,4,0,5,11,20,3
MSTRG.236,6,52,7,45,59,25
MSTRG.237,56,139,106,453,489,299
MSTRG.238,121,152,123,907,698,549
MSTRG.239,56,9,9,114,67,62
MSTRG.241,11,45,25,156,98,24
MSTRG.240,142,299,182,893,708,505
MSTRG.226,21078,27579,29819,4582,5379,5840
MSTRG.242,192,123,240,1740,1338,799
MSTRG.243,129,195,240,423,285,190
MSTRG.244,58,134,152,235,227,132
MSTRG.245,48,87,23,57,36,35
MSTRG.246,0,10,0,156,170,102
MSTRG.248,0,0,0,214,150,89
MSTRG.249,48,117,40,45,22,22
MSTRG.251,0,6,32,29,16,20
MSTRG.252,6,5,16,18,27,11
MSTRG.254,36,146,119,544,511,293
