transcript_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.50.1,82,198,29,539,773,826
rna-ELECO.r07.1AG0000770.1,79,0,11,81,234,16
MSTRG.51.7,0,59,158,36,9,40
MSTRG.51.9,0,0,67,11,43,2
MSTRG.51.10,0,0,0,90,23,86
rna-ELECO.r07.1AG0000790.1,0,0,0,0,0,0
MSTRG.51.1,274,332,611,313,385,411
MSTRG.51.2,156,0,0,0,389,122
MSTRG.51.3,2,23,132,517,70,147
MSTRG.51.4,278,898,211,312,158,183
MSTRG.51.5,120,391,21,0,0,0
MSTRG.51.6,46,202,27,71,42,25
MSTRG.51.8,8,27,155,67,252,66
MSTRG.51.11,229,1,334,252,305,220
rna-ELECO.r07.1AG0000810.1,0,0,0,0,0,0
MSTRG.52.1,142,208,187,261,348,159
rna-ELECO.r07.1AG0000850.1,4,0,8,20,9,14
rna-ELECO.r07.1AG0000840.1,13,0,0,27,10,0
rna-ELECO.r07.1AG0000860.1,0,0,0,0,0,0
MSTRG.56.1,19,26,61,90,60,50
MSTRG.56.3,7,28,22,32,17,22
MSTRG.53.1,216,233,271,287,218,147
rna-ELECO.r07.1AG0000820.1,248,270,567,420,510,297
rna-ELECO.r07.1AG0000870.1,657,793,968,2014,1638,1048
rna-ELECO.r07.1AG0000880.1,136,216,253,1496,1323,781
MSTRG.60.5,0,149,85,218,73,191
MSTRG.60.6,0,264,115,42,78,0
MSTRG.60.7,0,0,244,66,17,37
MSTRG.60.2,477,0,54,150,67,260
MSTRG.60.1,592,854,1549,1373,1055,560
MSTRG.60.3,153,216,27,136,21,45
MSTRG.60.8,135,0,52,35,0,30
MSTRG.60.4,105,657,787,570,1126,1625
rna-ELECO.r07.1AG0000900.1,14,270,8,6,7,10
MSTRG.62.1,31,27,83,12,27,6
MSTRG.62.2,15,0,14,0,0,0
rna-ELECO.r07.1AG0000910.1,1029,761,778,280,420,259
MSTRG.63.2,0,0,31,77,59,25
MSTRG.63.1,195,179,290,164,225,195
rna-ELECO.r07.1AG0000940.1,95,73,123,207,138,114
rna-ELECO.r07.1AG0000960.1,642,521,358,61,176,179
rna-ELECO.r07.1AG0000970.1,247,66,66,494,616,424
rna-ELECO.r07.1AG0000980.1,326,551,432,354,188,127
MSTRG.70.1,51,119,61,259,244,173
MSTRG.69.1,188,241,302,261,161,105
rna-ELECO.r07.1AG0000990.1,33,30,21,39,62,9
rna-ELECO.r07.1AG0001030.1,7,4,4,53,83,29
rna-ELECO.r07.1AG0001020.1,954,901,1293,3646,2916,1705
MSTRG.75.1,13,0,0,0,0,0
MSTRG.73.1,0,208,133,706,548,262
MSTRG.73.3,0,0,47,0,12,79
MSTRG.73.2,126,312,278,112,202,103
MSTRG.73.4,117,0,71,43,57,26
MSTRG.80.1,14,0,0,1,2,2
MSTRG.82.1,7,0,0,9,3,16
MSTRG.77.3,0,0,61,22,1,7
MSTRG.77.1,29,63,48,64,152,14
MSTRG.77.2,55,104,107,393,203,221
MSTRG.84.1,23,14,0,1,4,4
rna-ELECO.r07.1AG0001110.1,0,0,0,0,0,0
MSTRG.85.1,52,77,74,173,133,68
MSTRG.86.1,62,93,50,359,396,195
rna-ELECO.r07.1AG0001170.1,0,0,17,66,84,36
rna-ELECO.r07.1AG0001160.1,16,9,27,13433,8250,3914
MSTRG.88.1,377,598,584,1379,1620,1283
rna-ELECO.r07.1AG0001150.1,7,6,7,317,8,7
rna-ELECO.r07.1AG0001180.1,0,0,0,3,13,4
MSTRG.91.1,12,0,0,191,162,124
rna-ELECO.r07.1AG0001190.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0001200.1,12,18,25,322,282,172
MSTRG.94.1,0,38,17,346,370,233
rna-ELECO.r07.1AG0001240.1,0,0,0,26,22,51
MSTRG.93.3,0,75,3,0,0,0
rna-ELECO.r07.1AG0001230.1,0,0,0,15,19,0
MSTRG.93.1,97,102,28,263,193,74
MSTRG.93.2,3,0,145,6,2,91
rna-ELECO.r07.1AG0001260.1,0,0,0,43,22,7
MSTRG.95.1,33,51,123,513,393,239
rna-ELECO.r07.1AG0001250.1,207,277,153,795,606,411
rna-ELECO.r07.1AG0001280.1,32,68,11,83,108,39
MSTRG.97.1,103,76,74,366,322,219
rna-ELECO.r07.1AG0001300.1,14,20,6,14,23,12
rna-ELECO.r07.1AG0001290.1,0,0,0,0,0,0
MSTRG.98.4,0,0,59,0,0,53
MSTRG.98.2,154,10,279,46,3,83
MSTRG.98.1,127,428,143,363,331,63
rna-ELECO.r07.1AG0001340.1,15,46,0,39,27,29
MSTRG.100.1,0,26,2,105,174,101
rna-ELECO.r07.1AG0001330.1,0,0,28,124,92,58
MSTRG.100.3,0,14,0,0,1,0
rna-ELECO.r07.1AG0001350.1,28,88,105,43,61,25
MSTRG.103.2,0,16,0,0,0,0
rna-ELECO.r07.1AG0001360.1,59,30,4,20,8,9
MSTRG.104.1,0,0,0,0,0,29
MSTRG.104.2,12,23,49,51,85,20
MSTRG.106.1,0,0,0,65,60,0
MSTRG.106.2,0,0,0,0,22,63
rna-ELECO.r07.1AG0001380.1,0,0,0,39,31,0
MSTRG.107.1,18,0,3,1,2,3
MSTRG.108.1,13,0,0,29,26,25
MSTRG.109.1,105,81,176,308,277,198
rna-ELECO.r07.1AG0001400.1,452,141,179,404,873,538
rna-ELECO.r07.1AG0001410.1,49,87,60,286,164,143
rna-ELECO.r07.1AG0001430.1,49,14,62,64,86,14
MSTRG.112.2,1,24,1,1,1,1
MSTRG.114.1,2,0,9,14,8,7
MSTRG.113.2,0,58,98,41,118,36
MSTRG.113.3,0,328,554,45,177,0
MSTRG.113.1,9,0,143,0,0,177
MSTRG.113.4,403,180,35,264,114,0
rna-ELECO.r07.1AG0001440.1,46,42,49,21,58,14
rna-ELECO.r07.1AG0001480.1,20,58,37,25,37,30
rna-ELECO.r07.1AG0001450.1,666,782,887,1016,1147,903
MSTRG.118.1,26,26,29,129,79,66
rna-ELECO.r07.1AG0001500.1,13,41,4,11,7,8
rna-ELECO.r07.1AG0001580.1,9,0,1,11,16,3
rna-ELECO.r07.1AG0001590.1,0,0,0,144,163,89
rna-ELECO.r07.1AG0001510.1,0,0,14,16,17,10
MSTRG.119.1,164,172,98,53,113,79
rna-ELECO.r07.1AG0001660.1,2,0,1,7,7,2
rna-ELECO.r07.1AG0001640.1,0,0,0,14,2,0
MSTRG.121.3,0,0,0,13,0,12
rna-ELECO.r07.1AG0001650.1,0,1,3,11,2,2
MSTRG.121.1,116,197,286,351,299,186
MSTRG.121.4,7,0,0,4,1,3
MSTRG.124.1,59,94,46,230,139,144
rna-ELECO.r07.1AG0001680.1,0,0,0,0,0,0
MSTRG.123.1,97,180,191,754,569,395
MSTRG.123.3,54,0,0,0,0,0
MSTRG.126.2,0,0,0,198,164,47
rna-ELECO.r07.1AG0001760.1,4,26,30,0,9,34
rna-ELECO.r07.1AG0001780.1,12,8,2,4,4,4
rna-ELECO.r07.1AG0001770.1,73,19,56,84,55,45
MSTRG.125.4,0,0,189,106,0,0
rna-ELECO.r07.1AG0001730.1,0,0,145,92,38,113
MSTRG.125.6,0,0,0,5,13,10
MSTRG.125.7,0,0,0,0,330,82
rna-ELECO.r07.1AG0001740.1,0,0,0,0,0,0
MSTRG.125.1,157,1232,416,183,198,234
MSTRG.125.2,407,0,594,250,0,167
MSTRG.125.3,163,54,0,14,40,36
MSTRG.125.5,209,0,4,31,65,37
rna-ELECO.r07.1AG0001790.1,76,160,152,607,583,386
rna-ELECO.r07.1AG0001800.1,61,49,54,147,252,122
MSTRG.130.1,24,136,0,436,355,123
rna-ELECO.r07.1AG0001810.1,40,4,152,63,7,138
rna-ELECO.r07.1AG0001820.1,0,0,0,11,76,26
MSTRG.131.1,41,46,38,170,92,116
rna-ELECO.r07.1AG0001840.1,0,0,0,7,7,3
rna-ELECO.r07.1AG0001830.1,239,376,396,1217,893,650
MSTRG.133.1,0,0,11,0,2,1
rna-ELECO.r07.1AG0001870.1,89,121,93,27,34,17
MSTRG.134.2,92,0,15,10,15,0
rna-ELECO.r07.1AG0001910.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0001890.1,49,148,51,39,19,29
rna-ELECO.r07.1AG0001900.1,19,14,31,17,26,23
MSTRG.138.2,0,0,19,0,0,0
rna-ELECO.r07.1AG0001960.1,19,41,24,8,11,12
rna-ELECO.r07.1AG0001980.1,0,3,0,0,6,0
rna-ELECO.r07.1AG0002040.1,9,3,0,74,23,10
MSTRG.139.2,112,50,77,112,182,122
MSTRG.139.1,11,120,100,155,135,166
rna-ELECO.r07.1AG0002010.1,116,85,8,84,23,61
rna-ELECO.r07.1AG0002060.1,0,0,0,24,16,4
MSTRG.142.1,43,64,39,284,180,173
MSTRG.141.2,0,0,11,8,2,0
MSTRG.141.1,7,32,39,140,85,70
rna-ELECO.r07.1AG0002050.1,39,0,0,0,0,0
rna-ELECO.r07.1AG0002070.1,163,172,181,325,260,195
MSTRG.144.1,4,0,1,0,7,13
rna-ELECO.r07.1AG0002080.1,69,20,13,15,23,15
MSTRG.147.2,0,0,11,102,72,23
MSTRG.147.1,2,22,0,21,6,60
MSTRG.147.3,65,96,101,291,318,151
MSTRG.148.1,131,151,158,413,345,251
rna-ELECO.r07.1AG0002200.1,25,5,9,45,19,2
MSTRG.150.2,0,0,0,140,64,119
rna-ELECO.r07.1AG0002170.1,0,0,0,60,113,74
MSTRG.150.1,77,58,39,362,303,188
rna-ELECO.r07.1AG0002160.1,2984,4411,3920,7687,7942,6076
rna-ELECO.r07.1AG0002210.1,0,0,0,54,27,30
MSTRG.151.1,0,0,0,23,18,4
MSTRG.152.3,0,0,57,6,40,4
rna-ELECO.r07.1AG0002220.1,0,0,0,38,8,80
MSTRG.152.1,79,137,46,420,299,168
MSTRG.152.2,24,0,0,267,137,75
MSTRG.153.1,13,8,4,1,8,1
MSTRG.154.1,1,8,1,2,3,2
rna-ELECO.r07.1AG0002230.1,802,703,576,1009,987,595
MSTRG.157.1,78,87,42,18,30,19
MSTRG.156.3,0,0,0,38,10,30
MSTRG.156.6,0,0,16,0,0,2
rna-ELECO.r07.1AG0002240.1,279,190,287,236,417,207
MSTRG.156.1,10,15,1,27,37,18
rna-ELECO.r07.1AG0002250.1,12,0,44,0,0,0
MSTRG.156.5,81,153,65,501,325,135
MSTRG.159.1,0,0,0,85,36,29
rna-ELECO.r07.1AG0002350.1,42,51,83,529,379,229
MSTRG.162.1,14,7,41,178,171,103
MSTRG.161.2,0,0,69,0,0,0
MSTRG.161.1,263,514,556,1444,1108,853
rna-ELECO.r07.1AG0002490.1,0,0,0,0,0,0
MSTRG.163.1,221,157,247,11,21,8
rna-ELECO.r07.1AG0002510.1,380,469,645,1083,921,743
rna-ELECO.r07.1AG0002520.1,4,11,2,3,6,2
MSTRG.167.1,79,121,254,13,14,13
rna-ELECO.r07.1AG0002570.1,52,115,63,0,18,9
rna-ELECO.r07.1AG0002580.1,73,155,193,520,459,345
MSTRG.170.1,7,6,15,5,2,2
MSTRG.171.2,0,0,38,0,0,11
MSTRG.171.1,55,70,48,212,198,85
MSTRG.174.1,17,0,0,35,20,13
MSTRG.175.1,9,0,0,9,10,5
MSTRG.177.1,14,0,4,2,5,0
rna-ELECO.r07.1AG0002670.1,1,5,6,3,4,6
MSTRG.179.1,0,24,0,7,11,3
rna-ELECO.r07.1AG0002710.1,43,72,124,505,393,207
MSTRG.180.1,96,0,50,303,319,139
rna-ELECO.r07.1AG0002720.1,17,17,11,3,15,9
rna-ELECO.r07.1AG0002750.1,53,35,25,576,462,193
MSTRG.184.1,246,151,183,1092,1411,525
rna-ELECO.r07.1AG0002780.1,83,47,10,46,136,33
rna-ELECO.r07.1AG0002880.1,0,0,13,2,1,0
MSTRG.185.2,0,0,80,176,94,0
MSTRG.185.1,37,204,193,298,225,276
rna-ELECO.r07.1AG0002870.1,120,0,8,6,9,13
rna-ELECO.r07.1AG0002900.1,1,10,0,2,0,5
rna-ELECO.r07.1AG0002890.1,79,180,79,404,330,285
MSTRG.187.1,19,59,6,79,113,69
rna-ELECO.r07.1AG0002930.1,0,12,23,203,236,124
rna-ELECO.r07.1AG0002940.1,0,1,0,0,1,0
MSTRG.189.3,0,0,40,301,21,135
rna-ELECO.r07.1AG0002950.1,0,0,0,18,23,105
MSTRG.189.2,20,102,0,0,334,29
rna-ELECO.r07.1AG0003010.1,445,623,625,404,370,463
rna-ELECO.r07.1AG0003020.1,66,17,43,22,48,9
MSTRG.192.1,494,386,536,749,702,498
MSTRG.192.2,8,19,0,75,39,38
rna-ELECO.r07.1AG0003030.1,2,20,0,19,6,24
rna-ELECO.r07.1AG0003050.1,21,23,31,7,9,10
rna-ELECO.r07.1AG0003060.1,21,22,111,103,77,106
rna-ELECO.r07.1AG0003040.1,348,278,328,358,420,368
MSTRG.193.2,138,111,32,1079,875,648
MSTRG.193.3,54,183,90,80,199,154
rna-ELECO.r07.1AG0003080.1,87,42,34,108,69,56
rna-ELECO.r07.1AG0003090.1,54,64,102,116,142,57
rna-ELECO.r07.1AG0003120.1,22,25,0,40,39,36
rna-ELECO.r07.1AG0003140.1,0,19,37,42,41,25
rna-ELECO.r07.1AG0003150.1,33,90,22,148,120,97
MSTRG.204.1,13,0,0,5,0,2
MSTRG.202.1,155,186,371,153,176,46
MSTRG.202.2,18,0,0,0,29,56
MSTRG.206.1,0,0,0,6,15,2
rna-ELECO.r07.1AG0003250.1,147,193,195,30,44,85
rna-ELECO.r07.1AG0003280.1,0,0,0,31,21,23
rna-ELECO.r07.1AG0003270.1,281,581,365,1411,1063,678
MSTRG.208.1,790,1350,1258,3246,3014,2225
rna-ELECO.r07.1AG0003290.1,13,261,73,355,618,653
MSTRG.209.1,109,102,119,338,318,10
rna-ELECO.r07.1AG0003300.1,15,4,38,3,4,186
rna-ELECO.r07.1AG0003340.1,67,69,91,223,300,194
MSTRG.212.1,0,0,11,0,0,0
rna-ELECO.r07.1AG0003370.1,7,14,11,14,9,0
rna-ELECO.r07.1AG0003350.1,106,193,145,1458,1038,701
rna-ELECO.r07.1AG0003380.1,844,1032,884,526,618,424
rna-ELECO.r07.1AG0003400.1,0,0,0,0,0,0
MSTRG.215.1,94,28,30,1042,880,683
rna-ELECO.r07.1AG0003410.1,0,1234,369,577,703,220
MSTRG.216.3,0,642,0,0,1,0
MSTRG.216.1,1360,19,1419,6229,4526,3206
MSTRG.217.1,801,590,833,2675,2057,1343
MSTRG.217.2,14,57,0,152,207,90
rna-ELECO.r07.1AG0003420.1,8,198,148,321,266,390
MSTRG.218.2,0,0,0,55,49,126
MSTRG.218.5,0,8,0,38,22,7
rna-ELECO.r07.1AG0003440.1,0,0,3,87,88,83
MSTRG.218.1,103,0,0,90,30,40
MSTRG.218.3,19,114,0,24,67,105
MSTRG.218.4,91,99,260,524,498,245
rna-ELECO.r07.1AG0003430.1,2,56,0,8,7,7
MSTRG.220.1,5,18,1,6,5,8
MSTRG.222.1,3,0,9,2,1,2
rna-ELECO.r07.1AG0003450.1,1347,1769,1719,2944,2301,1620
rna-ELECO.r07.1AG0003470.1,1281,1350,1319,1816,2615,913
rna-ELECO.r07.1AG0003510.1,0,0,2,24,27,11
MSTRG.224.1,27,22,33,15,25,13
rna-ELECO.r07.1AG0003500.1,492,747,1093,333,410,174
rna-ELECO.r07.1AG0003540.1,217,182,286,1988,1607,1051
MSTRG.229.2,53,0,71,198,239,170
MSTRG.229.1,39,180,2,316,343,171
MSTRG.231.3,0,16,0,10,9,9
MSTRG.231.2,0,19,3,11,8,6
rna-ELECO.r07.1AG0003600.1,0,0,0,0,0,0
MSTRG.231.1,56,25,85,335,265,244
MSTRG.231.4,1,0,0,0,0,1
MSTRG.234.1,16,0,0,7,6,0
rna-ELECO.r07.1AG0003650.1,14,17,15,50,41,17
MSTRG.233.2,0,121,0,14,23,17
rna-ELECO.r07.1AG0003630.1,88,119,179,3416,3378,1667
rna-ELECO.r07.1AG0003660.1,4,0,5,12,21,4
rna-ELECO.r07.1AG0003670.1,0,0,0,0,0,0
MSTRG.237.2,0,0,0,41,0,86
rna-ELECO.r07.1AG0003680.1,0,0,42,159,181,133
MSTRG.236.1,7,56,8,48,63,26
MSTRG.237.1,59,148,71,282,339,99
rna-ELECO.r07.1AG0003690.1,128,162,131,964,742,584
rna-ELECO.r07.1AG0003700.1,59,10,9,121,71,66
rna-ELECO.r07.1AG0003720.1,0,2,0,27,35,6
MSTRG.241.1,11,45,27,139,70,19
rna-ELECO.r07.1AG0003710.1,151,318,193,950,753,537
rna-ELECO.r07.1AG0003530.1,22414,29327,31708,4872,5720,6210
MSTRG.242.3,0,0,0,160,0,0
MSTRG.242.1,146,57,161,854,384,435
rna-ELECO.r07.1AG0003730.1,57,73,93,836,1039,415
MSTRG.243.3,0,0,21,347,45,19
MSTRG.243.1,23,3,55,50,75,9
rna-ELECO.r07.1AG0003740.1,114,205,178,53,182,173
MSTRG.244.1,2,129,98,206,159,103
MSTRG.244.2,58,11,61,42,80,36
rna-ELECO.r07.1AG0003750.1,2,2,3,1,2,2
rna-ELECO.r07.1AG0003760.1,51,93,25,61,38,37
rna-ELECO.r07.1AG0003770.1,0,0,0,0,0,0
MSTRG.246.2,0,10,0,166,181,108
rna-ELECO.r07.1AG0003790.1,0,0,0,228,159,95
MSTRG.249.2,0,26,0,0,0,0
MSTRG.249.1,51,99,42,48,23,24
MSTRG.251.1,0,6,34,31,17,21
MSTRG.252.1,6,6,17,19,29,11
MSTRG.254.2,10,0,0,282,257,163
MSTRG.254.1,13,155,127,292,286,145
MSTRG.254.3,16,0,0,4,0,3
MSTRG.253.2,0,35,46,25,54,90
MSTRG.253.1,659,730,888,1035,820,495
rna-ELECO.r07.1AG0003830.1,5,7,108,36,9,34
rna-ELECO.r07.1AG0003860.1,0,0,0,95,38,46
MSTRG.256.1,7,0,0,56,125,29
rna-ELECO.r07.1AG0003850.1,87,117,88,697,632,327
MSTRG.257.1,0,0,0,2,3,1
MSTRG.258.2,0,0,0,104,127,152
MSTRG.258.1,37,65,95,208,139,114
MSTRG.259.1,3,4,17,20,19,24
rna-ELECO.r07.1AG0003890.1,0,0,0,22,42,33
MSTRG.260.1,29,101,22,689,534,285
MSTRG.263.1,0,55,32,178,149,112
MSTRG.263.2,0,0,0,14,41,0
MSTRG.262.2,0,50,0,28,7,6
rna-ELECO.r07.1AG0003970.1,0,0,0,0,0,0
MSTRG.262.1,293,616,409,779,472,381
MSTRG.264.3,0,34,69,0,10,25
MSTRG.264.1,70,252,153,66,68,139
MSTRG.264.2,61,78,151,79,57,79
MSTRG.264.4,88,73,22,21,31,32
MSTRG.264.5,74,7,82,20,59,19
MSTRG.266.1,24,0,0,264,192,110
rna-ELECO.r07.1AG0004080.1,9,37,50,617,670,361
rna-ELECO.r07.1AG0004100.1,6,12,15,119,117,90
MSTRG.268.3,0,20,24,30,48,29
MSTRG.268.4,0,39,5,133,66,80
rna-ELECO.r07.1AG0004090.1,0,123,0,178,127,77
MSTRG.268.2,52,0,31,285,303,147
MSTRG.268.1,48,9,85,661,543,428
MSTRG.271.2,0,10,46,86,42,28
MSTRG.271.3,0,24,0,69,106,89
rna-ELECO.r07.1AG0004140.1,0,1,0,0,1,0
MSTRG.271.1,41,43,18,187,73,123
rna-ELECO.r07.1AG0004160.1,9,16,6,0,6,8
MSTRG.272.1,109,231,204,638,619,360
rna-ELECO.r07.1AG0004150.1,1,1,1,1,1,1
rna-ELECO.r07.1AG0004170.1,0,0,0,19,9,5
rna-ELECO.r07.1AG0004180.1,57,114,92,299,210,173
MSTRG.275.2,0,15,0,167,252,117
rna-ELECO.r07.1AG0004190.1,0,0,51,111,16,102
MSTRG.275.1,85,145,206,707,690,469
rna-ELECO.r07.1AG0004200.1,0,0,7,10,26,28
MSTRG.276.1,18,38,26,110,90,53
rna-ELECO.r07.1AG0004220.1,120,128,119,14,32,2
rna-ELECO.r07.1AG0004230.1,386,283,318,5207,3820,1657
rna-ELECO.r07.1AG0004260.1,10,2,0,47,68,24
MSTRG.279.1,43,208,99,431,437,249
rna-ELECO.r07.1AG0004240.1,81,0,24,9,26,25
rna-ELECO.r07.1AG0004270.1,0,0,0,3,1,1
MSTRG.281.2,0,0,55,595,45,258
MSTRG.281.1,124,158,236,500,734,182
MSTRG.281.4,39,0,33,123,132,163
MSTRG.281.5,119,9,36,30,9,56
MSTRG.281.6,13,144,16,102,138,75
rna-ELECO.r07.1AG0004280.1,48,0,10,25,21,39
rna-ELECO.r07.1AG0004300.1,0,0,0,0,0,0
MSTRG.283.1,102,247,169,959,705,382
rna-ELECO.r07.1AG0004370.1,34,60,39,11,20,2
rna-ELECO.r07.1AG0004310.1,234,254,212,1026,866,495
rna-ELECO.r07.1AG0004380.1,24,25,15,1611,1576,987
rna-ELECO.r07.1AG0004390.1,1,3,9,42,19,7
MSTRG.288.2,134,176,205,939,673,364
rna-ELECO.r07.1AG0004410.1,97,58,107,367,316,190
MSTRG.289.1,21,0,0,1,0,0
rna-ELECO.r07.1AG0004420.1,0,17,8,15,5,3
rna-ELECO.r07.1AG0004430.1,31,5,20,114,74,46
MSTRG.292.2,0,74,38,112,143,60
MSTRG.292.3,0,29,54,13,0,52
rna-ELECO.r07.1AG0004440.1,0,0,0,36,8,3
MSTRG.292.1,33,28,70,268,231,73
MSTRG.292.4,69,0,0,76,71,59
rna-ELECO.r07.1AG0004450.1,150,216,185,918,694,481
MSTRG.294.1,294,511,556,640,465,309
MSTRG.294.2,122,45,77,93,60,22
rna-ELECO.r07.1AG0004460.1,55,12,49,31,34,13
rna-ELECO.r07.1AG0004490.1,0,0,26,41,47,16
rna-ELECO.r07.1AG0004500.1,2,5,9,2,2,2
rna-ELECO.r07.1AG0004510.1,41,55,56,1089,938,655
MSTRG.295.4,0,13,0,0,0,3
rna-ELECO.r07.1AG0004480.1,0,0,0,0,10,0
MSTRG.295.1,149,297,217,555,545,411
rna-ELECO.r07.1AG0004470.1,138,39,126,231,92,56
MSTRG.295.2,6,15,55,306,440,157
rna-ELECO.r07.1AG0004530.1,0,0,7,76,112,59
MSTRG.300.1,76,155,211,860,734,387
rna-ELECO.r07.1AG0004520.1,16,58,80,186,59,175
MSTRG.302.1,311,427,260,1035,841,518
rna-ELECO.r07.1AG0004540.1,4,86,64,83,73,50
rna-ELECO.r07.1AG0004560.1,9,42,24,619,581,294
MSTRG.303.1,0,187,6,107,123,6
rna-ELECO.r07.1AG0004550.1,145,0,171,400,214,230
rna-ELECO.r07.1AG0004570.1,0,0,164,10,18,13
MSTRG.305.1,35,118,0,426,376,235
rna-ELECO.r07.1AG0004580.1,9,0,0,2,4,0
MSTRG.306.1,56,74,118,361,319,165
rna-ELECO.r07.1AG0004590.1,2,0,0,2,2,2
rna-ELECO.r07.1AG0004620.1,5,0,6,16,27,10
MSTRG.307.3,0,0,0,262,25,77
MSTRG.307.1,329,371,448,1294,1375,673
MSTRG.307.2,16,13,16,400,161,78
rna-ELECO.r07.1AG0004600.1,11,351,77,623,138,222
