transcript_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
rna-ELECO.r07.1AG0000050.1,2,14,4,35,23,16
MSTRG.1.3,0,125,66,219,183,103
MSTRG.1.1,71,148,139,348,394,142
MSTRG.1.2,1,90,104,222,149,138
rna-ELECO.r07.1AG0000010.1,194,71,24,427,265,321
rna-ELECO.r07.1AG0000070.1,5,31,8,140,106,73
rna-ELECO.r07.1AG0000060.1,0,0,46,349,249,60
MSTRG.2.1,86,89,91,452,388,78
MSTRG.6.1,237,425,486,745,431,322
rna-ELECO.r07.1AG0000100.1,77,46,2,20,70,5
MSTRG.9.1,24,0,30,193,179,127
rna-ELECO.r07.1AG0000150.1,4,0,3,25,16,21
rna-ELECO.r07.1AG0000120.1,0,0,0,0,0,0
rna-ELECO.r07.1AG0000110.1,9,13,8,22,39,15
MSTRG.8.1,53,68,93,392,228,188
MSTRG.11.1,15,17,9,4,15,11
rna-ELECO.r07.1AG0000170.1,1,1,0,0,0,0
MSTRG.10.1,0,0,22,318,159,220
rna-ELECO.r07.1AG0000160.1,0,0,0,0,0,0
MSTRG.10.2,235,264,252,2443,1771,1132
rna-ELECO.r07.1AG0000190.1,0,0,0,1,1,2
MSTRG.12.1,76,154,160,103,71,59
rna-ELECO.r07.1AG0000210.1,19,43,11,369,260,165
rna-ELECO.r07.1AG0000250.1,193,353,199,473,376,212
rna-ELECO.r07.1AG0000300.1,0,0,0,7,7,10
MSTRG.20.1,0,10,14,26,22,6
rna-ELECO.r07.1AG0000310.1,0,0,0,108,100,28
rna-ELECO.r07.1AG0000280.1,293,317,242,836,784,486
MSTRG.19.1,129,88,120,774,650,451
MSTRG.21.2,0,0,4,133,118,73
MSTRG.21.3,0,0,0,38,141,29
MSTRG.21.4,0,0,11,78,314,173
rna-ELECO.r07.1AG0000330.1,0,0,88,267,153,169
MSTRG.21.1,15,0,0,0,0,0
MSTRG.21.5,121,76,20,923,855,440
MSTRG.22.1,0,7,4,125,108,60
rna-ELECO.r07.1AG0000340.1,5,1,0,4,3,1
rna-ELECO.r07.1AG0000360.1,0,12,25,123,118,86
MSTRG.23.2,18,0,0,0,0,0
MSTRG.24.3,0,0,16,143,218,82
MSTRG.24.2,202,53,157,203,242,225
MSTRG.24.1,139,371,236,753,700,745
rna-ELECO.r07.1AG0000390.1,243,425,373,264,195,110
MSTRG.25.2,63,91,107,203,106,67
rna-ELECO.r07.1AG0000410.1,19,62,71,48,50,22
MSTRG.28.1,2,25,1,6,3,6
rna-ELECO.r07.1AG0000420.1,0,0,14,0,26,45
MSTRG.29.1,33,39,34,503,385,249
MSTRG.30.1,0,36,44,39,34,22
rna-ELECO.r07.1AG0000430.1,13,1,1,1,1,1
MSTRG.26.1,258,165,232,870,434,344
MSTRG.26.2,55,0,0,0,0,0
rna-ELECO.r07.1AG0000400.1,1049,1640,1618,1455,1033,1040
MSTRG.31.1,770,882,985,183,248,245
MSTRG.32.1,181,139,182,390,202,241
rna-ELECO.r07.1AG0000460.1,30,5,9,17,135,18
MSTRG.33.1,0,0,10,48,51,33
rna-ELECO.r07.1AG0000480.1,81,198,92,564,346,160
rna-ELECO.r07.1AG0000490.1,0,0,11,42,44,38
MSTRG.36.1,1274,1048,1549,292,534,370
MSTRG.36.2,140,171,310,25,42,33
rna-ELECO.r07.1AG0000590.1,0,14,7,9,14,7
rna-ELECO.r07.1AG0000510.1,258,312,359,1017,907,586
MSTRG.17.2,0,0,32,69,0,0
rna-ELECO.r07.1AG0000260.1,13866,8103,9720,5578,6117,3466
MSTRG.15.2,41372,69183,76717,12708,15506,17168
MSTRG.16.1,18,67,21,6,10,3
MSTRG.17.1,41,64,52,94,219,110
rna-ELECO.r07.1AG0000270.1,54,0,5,124,79,66
rna-ELECO.r07.1AG0000610.1,43,33,36,241,181,154
MSTRG.40.1,288,816,501,1283,766,994
MSTRG.40.2,42,199,12,114,78,28
MSTRG.40.3,280,41,1,150,184,56
rna-ELECO.r07.1AG0000600.1,682,702,1075,2024,1466,805
MSTRG.42.2,0,0,0,80,0,170
MSTRG.42.3,0,0,0,68,0,94
MSTRG.42.1,22,244,79,162,34,184
MSTRG.42.4,166,11,146,365,519,86
MSTRG.42.5,37,42,15,172,143,70
rna-ELECO.r07.1AG0000670.1,107,73,116,665,607,342
MSTRG.44.1,40,22,35,51,92,31
rna-ELECO.r07.1AG0000690.1,20,34,82,328,238,114
MSTRG.47.1,1,67,45,83,104,83
MSTRG.47.2,4,0,10,88,50,21
MSTRG.45.1,469,443,582,1529,1185,817
rna-ELECO.r07.1AG0000700.1,78,29,56,201,162,132
rna-ELECO.r07.1AG0000760.1,40,0,11,8,21,7
MSTRG.50.3,0,0,207,645,69,28
