gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.72,7,4,4,53,83,29
MSTRG.71,954,901,1293,3646,2916,1705
MSTRG.75,13,0,0,0,0,0
MSTRG.73,243,520,529,861,819,470
MSTRG.80,14,0,0,1,2,2
MSTRG.82,7,0,0,9,3,16
MSTRG.77,84,167,216,479,356,242
MSTRG.84,23,14,0,1,4,4
MSTRG.85,52,77,74,173,133,68
MSTRG.86,62,93,50,359,396,195
MSTRG.90,0,0,17,66,84,36
MSTRG.89,16,9,27,13433,8250,3914
MSTRG.88,384,604,591,1696,1628,1290
MSTRG.91,12,0,0,194,175,128
gene-QOZ80_1AG0001190,0,0,0,0,0,0
MSTRG.92,12,18,25,322,282,172
MSTRG.94,0,38,17,372,392,284
MSTRG.93,100,177,176,284,214,165
gene-QOZ80_1AG0001260,0,0,0,43,22,7
MSTRG.95,240,328,276,1308,999,650
MSTRG.96,32,68,11,83,108,39
MSTRG.97,103,76,74,366,322,219
MSTRG.99,14,20,6,14,23,12
MSTRG.98,281,438,481,409,334,199
MSTRG.101,15,46,0,39,27,29
MSTRG.100,0,40,30,229,267,159
MSTRG.102,28,88,105,43,61,25
MSTRG.103,59,46,4,20,8,9
MSTRG.104,12,23,49,51,85,49
MSTRG.106,0,0,0,104,113,63
MSTRG.107,18,0,3,1,2,3
MSTRG.108,13,0,0,29,26,25
MSTRG.109,105,81,176,308,277,198
MSTRG.110,452,141,179,404,873,538
MSTRG.111,49,87,60,286,164,143
MSTRG.112,50,38,63,65,87,15
MSTRG.114,2,0,9,14,8,7
MSTRG.113,458,608,879,371,467,227
MSTRG.117,20,58,37,25,37,30
MSTRG.115,666,782,887,1016,1147,903
MSTRG.118,39,67,33,140,86,74
gene-QOZ80_1AG0001580,9,0,1,11,16,3
MSTRG.120,0,0,0,144,163,89
MSTRG.119,164,172,112,69,130,89
MSTRG.122,2,0,1,7,7,2
MSTRG.121,123,198,289,393,304,203
MSTRG.124,59,94,46,230,139,144
MSTRG.123,151,180,191,754,569,395
MSTRG.126,4,26,30,198,173,81
gene-QOZ80_1AG0001780,12,8,2,4,4,4
MSTRG.127,73,19,56,84,55,45
MSTRG.125,936,1286,1348,681,684,679
MSTRG.128,76,160,152,607,583,386
MSTRG.129,61,49,54,147,252,122
MSTRG.130,64,140,152,499,362,261
MSTRG.131,41,46,38,181,168,142
gene-QOZ80_1AG0001840,0,0,0,7,7,3
MSTRG.132,239,376,396,1217,893,650
MSTRG.133,0,0,11,0,2,1
MSTRG.134,181,121,108,37,49,17
gene-QOZ80_1AG0001910,0,0,0,0,0,0
MSTRG.135,49,148,51,39,19,29
MSTRG.136,19,14,31,17,26,23
MSTRG.138,19,41,43,8,11,12
gene-QOZ80_1AG0001980,0,3,0,0,6,0
MSTRG.140,9,3,0,74,23,10
MSTRG.139,239,255,185,351,340,349
MSTRG.142,43,64,39,308,196,177
MSTRG.141,46,32,50,148,87,70
MSTRG.143,163,172,181,325,260,195
MSTRG.144,4,0,1,0,7,13
MSTRG.145,69,20,13,15,23,15
MSTRG.147,67,118,112,414,396,234
MSTRG.148,131,151,158,413,345,251
gene-QOZ80_1AG0002200,25,5,9,45,19,2
MSTRG.150,77,58,39,562,480,381
MSTRG.149,2984,4411,3920,7687,7942,6076
gene-QOZ80_1AG0002210,0,0,0,54,27,30
MSTRG.151,0,0,0,23,18,4
MSTRG.152,103,137,103,731,484,327
MSTRG.153,13,8,4,1,8,1
MSTRG.154,1,8,1,2,3,2
MSTRG.155,802,703,576,1009,987,595
MSTRG.157,78,87,42,18,30,19
MSTRG.156,382,358,413,802,789,392
MSTRG.159,0,0,0,85,36,29
MSTRG.160,42,51,83,529,379,229
MSTRG.162,14,7,41,178,171,103
MSTRG.161,263,514,625,1444,1108,853
MSTRG.163,221,157,247,11,21,8
MSTRG.164,380,469,645,1083,921,743
MSTRG.165,4,11,2,3,6,2
MSTRG.167,131,236,317,13,32,22
MSTRG.168,73,155,193,520,459,345
MSTRG.170,7,6,15,5,2,2
MSTRG.171,55,70,86,212,198,96
MSTRG.174,17,0,0,35,20,13
MSTRG.175,9,0,0,9,10,5
MSTRG.177,14,0,4,2,5,0
gene-QOZ80_1AG0002670,1,5,6,3,4,6
MSTRG.179,0,24,0,7,11,3
MSTRG.178,43,72,124,505,393,207
MSTRG.180,113,17,61,306,334,148
MSTRG.182,53,35,25,576,462,193
MSTRG.184,329,198,193,1138,1547,558
gene-QOZ80_1AG0002880,0,0,13,2,1,0
MSTRG.185,157,204,281,480,328,289
gene-QOZ80_1AG0002900,1,10,0,2,0,5
MSTRG.186,79,180,79,404,330,285
MSTRG.187,19,59,6,79,113,69
MSTRG.188,0,12,23,203,236,124
MSTRG.189,20,103,40,319,379,269
MSTRG.190,445,623,625,404,370,463
MSTRG.191,66,17,43,22,48,9
MSTRG.192,504,425,536,843,747,560
MSTRG.194,21,23,31,7,9,10
MSTRG.195,21,22,111,103,77,106
MSTRG.193,540,572,450,1517,1494,1170
MSTRG.196,87,42,34,108,69,56
MSTRG.197,54,64,102,116,142,57
MSTRG.199,22,25,0,40,39,36
MSTRG.200,0,19,37,42,41,25
MSTRG.201,33,90,22,148,120,97
MSTRG.204,13,0,0,5,0,2
MSTRG.202,173,186,371,153,205,102
MSTRG.206,0,0,0,6,15,2
MSTRG.205,147,193,195,30,44,85
gene-QOZ80_1AG0003280,0,0,0,31,21,23
MSTRG.207,281,581,365,1411,1063,678
MSTRG.208,803,1611,1331,3601,3632,2878
MSTRG.209,124,106,157,341,322,196
MSTRG.210,67,69,91,223,300,194
MSTRG.212,0,0,11,0,0,0
MSTRG.213,7,14,11,14,9,0
MSTRG.211,106,193,145,1458,1038,701
MSTRG.214,844,1032,884,526,618,424
MSTRG.215,94,28,30,1042,880,683
MSTRG.216,1360,1895,1788,6806,5230,3426
MSTRG.217,823,845,981,3148,2530,1823
MSTRG.218,215,277,260,739,673,530
MSTRG.219,0,0,3,87,88,83
MSTRG.220,5,18,1,6,5,8
MSTRG.222,3,0,9,2,1,2
MSTRG.221,1347,1769,1719,2944,2301,1620
MSTRG.223,1281,1350,1319,1816,2615,913
gene-QOZ80_1AG0003510,0,0,2,24,27,11
MSTRG.224,27,22,33,15,25,13
MSTRG.225,492,747,1093,333,410,174
MSTRG.227,217,182,286,1988,1607,1051
MSTRG.229,92,180,73,514,582,341
MSTRG.231,57,60,88,356,282,260
MSTRG.232,0,0,0,0,0,0
MSTRG.234,16,0,0,7,6,0
MSTRG.235,14,17,15,50,41,17
MSTRG.233,88,240,179,3430,3401,1684
gene-QOZ80_1AG0003660,4,0,5,12,21,4
MSTRG.236,7,56,8,48,63,26
MSTRG.237,59,148,113,482,520,318
MSTRG.238,128,162,131,964,742,584
MSTRG.239,59,10,9,121,71,66
MSTRG.241,11,47,27,166,105,25
MSTRG.240,151,318,193,950,753,537
MSTRG.226,22414,29327,31708,4872,5720,6210
MSTRG.242,203,130,254,1850,1423,850
MSTRG.243,137,208,254,450,302,201
MSTRG.244,62,142,162,249,241,141
MSTRG.245,51,93,25,61,38,37
MSTRG.246,0,10,0,166,181,108
MSTRG.248,0,0,0,228,159,95
MSTRG.249,51,125,42,48,23,24
MSTRG.251,0,6,34,31,17,21
MSTRG.252,6,6,17,19,29,11
MSTRG.254,39,155,127,578,543,311
MSTRG.253,664,772,1042,1096,883,619
MSTRG.256,7,0,0,151,163,75
MSTRG.255,87,117,88,697,632,327
MSTRG.257,0,0,0,2,3,1
MSTRG.258,37,65,95,312,266,266
MSTRG.259,3,4,17,20,19,24
MSTRG.260,29,101,22,711,576,318
MSTRG.263,0,55,32,192,190,112
MSTRG.262,293,666,409,807,479,387
MSTRG.264,293,444,477,186,225,294
MSTRG.266,24,0,0,264,192,110
MSTRG.267,9,37,50,617,670,361
MSTRG.269,6,12,15,119,117,90
MSTRG.268,100,191,145,1287,1087,761
MSTRG.271,41,78,64,342,222,240
MSTRG.273,9,16,6,0,6,8
MSTRG.272,110,232,205,639,620,361
gene-QOZ80_1AG0004170,0,0,0,19,9,5
MSTRG.274,57,114,92,299,210,173
MSTRG.275,85,160,257,985,958,688
MSTRG.276,18,38,33,120,116,81
MSTRG.277,120,128,119,14,32,2
MSTRG.278,386,283,318,5207,3820,1657
MSTRG.280,10,2,0,47,68,24
MSTRG.279,124,208,123,440,463,274
MSTRG.281,343,311,386,1378,1080,774
MSTRG.283,102,247,169,959,705,382
MSTRG.286,34,60,39,11,20,2
MSTRG.284,234,254,212,1026,866,495
MSTRG.287,24,25,15,1611,1576,987
MSTRG.288,232,237,321,1348,1008,561
MSTRG.289,21,0,0,1,0,0
MSTRG.290,0,17,8,15,5,3
MSTRG.291,31,5,20,114,74,46
MSTRG.292,102,131,162,505,453,247
MSTRG.293,150,216,185,918,694,481
MSTRG.294,471,568,682,764,559,344
MSTRG.296,0,0,26,41,47,16
gene-QOZ80_1AG0004500,2,5,9,2,2,2
MSTRG.299,41,55,56,1089,938,655
MSTRG.295,293,364,398,1092,1087,627
MSTRG.301,0,0,7,76,112,59
MSTRG.300,92,213,291,1046,793,562
MSTRG.302,315,513,324,1118,914,568
MSTRG.304,9,42,24,619,581,294
MSTRG.303,145,187,177,507,337,236
MSTRG.305,35,118,164,436,394,248
gene-QOZ80_1AG0004580,9,0,0,2,4,0
MSTRG.306,58,74,118,363,321,167
gene-QOZ80_1AG0004620,5,0,6,16,27,10
MSTRG.307,356,735,541,2579,1699,1050
MSTRG.308,138,115,212,374,349,306
MSTRG.309,32,65,123,53,52,13
MSTRG.310,2,19,0,8,0,0
MSTRG.313,0,0,6,60,56,39
MSTRG.311,24,57,59,541,450,294
MSTRG.318,41,60,107,360,323,231
MSTRG.316,46,75,91,498,533,404
MSTRG.317,0,0,0,0,0,0
MSTRG.319,76,25,49,22,49,35
MSTRG.320,48,58,33,219,172,139
MSTRG.322,0,0,0,24,17,21
MSTRG.321,14,0,21,146,128,58
MSTRG.323,15,94,74,126,79,53
MSTRG.326,14,47,24,250,200,141
MSTRG.327,420,404,405,2324,1614,692
MSTRG.328,144,151,248,2179,1306,740
MSTRG.329,157,160,129,1708,992,670
MSTRG.330,198,230,239,1518,1322,853
MSTRG.334,33,55,41,78,43,49
MSTRG.333,113,133,143,1601,1244,988
MSTRG.335,19,40,13,21,19,9
MSTRG.336,0,47,9,23,24,15
MSTRG.337,104,136,95,52,82,98
MSTRG.338,21,0,26,83,84,56
MSTRG.339,11,10,44,62,53,22
MSTRG.340,3,11,0,6,6,10
MSTRG.345,3,22,12,570,644,352
MSTRG.346,10,0,16,136,144,95
MSTRG.341,42,97,66,631,486,339
MSTRG.343,0,0,0,35,36,22
MSTRG.342,8,0,0,0,0,0
MSTRG.347,253,352,422,857,668,521
MSTRG.349,7,79,57,20,7,5
MSTRG.350,114,158,290,1117,845,367
MSTRG.351,432,491,430,1867,1182,638
MSTRG.352,243,324,206,1056,724,469
MSTRG.354,52,29,76,710,430,254
MSTRG.356,17,23,22,79,24,27
MSTRG.357,34,36,65,1669,693,134
MSTRG.355,425,578,671,364,356,315
MSTRG.358,39,24,64,418,282,201
gene-QOZ80_1AG0005200,13,0,8,0,0,7
MSTRG.360,91,78,136,185,180,115
MSTRG.361,313,417,369,749,615,396
MSTRG.363,22,22,16,55,63,40
MSTRG.362,297,295,285,1260,918,652
MSTRG.364,334,456,513,1968,1337,920
MSTRG.365,165,135,256,591,587,246
MSTRG.367,1219,1855,1945,5303,4449,2816
MSTRG.368,453,414,494,1704,1158,808
MSTRG.370,13,0,5,20,48,29
MSTRG.369,174,150,98,205,154,97
MSTRG.371,514,521,381,5313,4196,2579
MSTRG.372,159,188,269,806,627,385
MSTRG.373,101,130,137,902,754,623
MSTRG.374,227,265,249,31,56,52
MSTRG.376,3,10,0,0,0,0
MSTRG.375,259,237,317,229,452,288
MSTRG.377,866,1093,973,3334,2410,1526
MSTRG.378,31,9,44,421,362,231
MSTRG.379,57,91,67,175,224,104
MSTRG.380,303,516,575,1212,1051,815
MSTRG.382,45,77,33,637,1286,474
MSTRG.384,22,31,56,53,81,43
MSTRG.385,3,0,59,221,200,137
MSTRG.383,1113,1660,1526,2108,1712,1464
MSTRG.387,24,36,16,218,138,45
MSTRG.388,476,674,666,2088,1853,1335
MSTRG.389,224,244,320,31,98,41
MSTRG.390,162,511,258,1228,1253,816
MSTRG.391,80,120,107,802,590,348
MSTRG.392,137,138,71,2838,3743,639
MSTRG.393,570,610,634,2183,2024,1407
MSTRG.395,20,54,61,310,280,192
MSTRG.394,284,334,341,972,779,488
gene-QOZ80_1AG0005910,0,0,0,8,9,0
MSTRG.397,75,138,202,485,329,174
MSTRG.398,171,107,198,932,677,439
MSTRG.399,544,609,483,790,677,593
MSTRG.400,146,283,363,913,548,319
MSTRG.402,55,36,61,93,100,64
MSTRG.403,46,59,31,412,404,287
MSTRG.401,563,755,474,1218,1266,945
MSTRG.405,12,0,0,0,0,0
MSTRG.404,366,536,486,1911,1371,928
MSTRG.406,347,291,394,1593,1685,1513
MSTRG.407,262,369,419,17,43,54
MSTRG.408,5,39,30,5,7,0
MSTRG.409,412,456,558,53,127,88
MSTRG.410,74,88,92,85,64,20
MSTRG.411,67,92,110,326,273,220
MSTRG.412,116,127,146,579,400,255
gene-QOZ80_1AG0006230,40,44,21,70,80,26
MSTRG.415,7,13,15,73,41,15
MSTRG.413,2077,1442,1427,40847,58620,36136
MSTRG.418,0,8,0,0,0,0
MSTRG.417,41,0,10,65,54,23
MSTRG.416,1403,2164,2662,972,919,720
MSTRG.419,157,189,185,734,539,441
MSTRG.422,0,20,0,3,4,9
MSTRG.421,33,37,57,299,243,151
MSTRG.420,961,1648,1367,3756,3231,1951
MSTRG.423,1292,805,1001,28597,17916,8142
gene-QOZ80_1AG0006350,0,0,0,2,4,0
MSTRG.424,160,159,145,1069,723,384
MSTRG.425,162,245,200,1153,1237,533
MSTRG.427,33,0,11,94,112,37
MSTRG.426,64,79,96,483,473,219
MSTRG.428,38,58,92,370,307,206
MSTRG.429,38,0,26,97,47,46
MSTRG.430,91,94,114,642,533,353
MSTRG.431,22,76,23,841,593,249
MSTRG.432,66,131,145,335,285,168
MSTRG.433,985,1488,1579,1260,1075,714
MSTRG.434,262,206,229,1329,976,621
MSTRG.435,84,215,150,957,562,496
MSTRG.436,141,203,165,134,83,93
MSTRG.437,31,32,42,180,202,98
MSTRG.440,14,0,0,10,2,3
MSTRG.445,80,123,163,1317,1140,657
gene-QOZ80_1AG0006610,6,0,0,0,6,8
gene-QOZ80_1AG0006620,0,0,0,9,0,0
MSTRG.446,494,680,917,1909,1637,870
MSTRG.449,5,0,0,185,312,67
MSTRG.448,0,11,0,20,14,5
MSTRG.447,115,94,128,530,344,206
gene-QOZ80_1AG0006700,0,0,0,155,139,63
MSTRG.450,100,143,162,176,117,78
MSTRG.451,804,1173,1344,4778,3787,2635
MSTRG.453,69,200,145,271,180,187
MSTRG.454,6,4,7,43,73,32
MSTRG.452,361,240,346,1290,1089,688
MSTRG.455,152,0,11,156,159,104
MSTRG.457,61,46,48,1355,909,497
MSTRG.458,83,42,64,285,188,98
MSTRG.459,198,261,194,1065,916,628
MSTRG.460,0,0,0,0,0,0
MSTRG.461,331,240,306,0,14,6
MSTRG.463,35,63,71,154,163,130
MSTRG.464,8,11,20,114,151,57
MSTRG.462,586,879,909,3130,2345,1660
MSTRG.465,44,26,2,162,133,24
MSTRG.466,94,22,40,45,111,19
MSTRG.467,7,10,2,71,98,53
MSTRG.468,105,197,175,324,285,232
MSTRG.469,242,249,204,576,512,532
MSTRG.471,69,97,50,383,298,196
MSTRG.470,21,26,19,367,398,294
MSTRG.473,7,0,4,0,0,0
MSTRG.474,9,17,18,0,0,0
MSTRG.475,7,17,13,98,74,41
MSTRG.472,1076,1006,1007,259,509,528
MSTRG.476,201,199,184,488,294,183
MSTRG.478,29,17,0,24,22,7
MSTRG.477,89,86,88,380,284,160
MSTRG.480,42,21,44,51,61,44
MSTRG.481,112,111,78,444,257,36
MSTRG.482,414,597,448,163,206,142
MSTRG.484,90,189,153,881,470,86
MSTRG.485,416,436,672,1354,776,439
MSTRG.486,45,80,137,40,48,87
MSTRG.487,138,201,195,1149,838,519
MSTRG.488,339,712,778,1646,1220,880
MSTRG.489,140,190,227,378,412,209
MSTRG.491,0,20,9,0,0,0
MSTRG.492,0,0,7,130,141,82
MSTRG.490,214,234,224,126,155,145
MSTRG.493,36,0,51,467,382,206
gene-QOZ80_1AG0007380,3,0,0,0,2,0
MSTRG.495,84,152,137,377,303,235
MSTRG.494,574,615,705,3364,2435,1590
gene-QOZ80_1AG0007500,2,0,0,24,24,15
MSTRG.496,31,61,41,284,269,199
MSTRG.498,32,76,33,257,219,153
MSTRG.497,313,723,934,694,835,443
MSTRG.499,641,546,698,1070,1148,675
MSTRG.501,53,123,87,865,752,251
MSTRG.500,101,193,219,1371,1041,650
MSTRG.502,813,1023,922,4521,3827,2549
gene-QOZ80_1AG0007720,2,2,0,3,1,1
MSTRG.506,4,38,12,127,105,58
MSTRG.505,132,174,83,1012,912,579
MSTRG.503,284,232,186,919,710,525
MSTRG.508,130,187,197,833,716,442
gene-QOZ80_1AG0007810,6,0,0,0,0,0
MSTRG.509,41,21,38,118,134,36
MSTRG.510,45,0,29,125,105,100
MSTRG.511,2,0,11,36,19,15
MSTRG.512,18,40,82,69,84,33
MSTRG.513,8,10,7,85,62,40
MSTRG.514,9,17,11,129,130,90
MSTRG.515,119,111,167,1059,817,443
MSTRG.517,4,0,12,6,11,22
MSTRG.516,448,610,382,1005,717,654
MSTRG.519,0,0,0,28,35,5
MSTRG.520,3,28,27,8856,7034,1524
MSTRG.522,10,0,0,24,10,6
MSTRG.523,4,0,5,18,12,5
gene-QOZ80_1AG0008170,0,0,0,90,28,14
MSTRG.518,186,143,247,520,499,315
MSTRG.524,82,58,49,105,59,46
MSTRG.525,68,70,93,307,225,216
MSTRG.526,15,0,49,21,28,17
MSTRG.528,24,0,17,419,413,107
MSTRG.527,315,282,398,171,222,247
MSTRG.529,50,191,163,1190,831,557
MSTRG.533,17,34,24,16,28,11
MSTRG.534,8,70,46,144,145,146
MSTRG.530,43,137,120,225,149,109
MSTRG.531,609,632,946,1888,1513,1220
MSTRG.536,3,2,8,17,18,0
MSTRG.535,81,213,186,583,407,239
gene-QOZ80_1AG0008320,5,0,1,2,8,5
MSTRG.538,3,0,16,2,4,2
MSTRG.539,212,78,102,640,1252,418
MSTRG.541,7,47,11,7,2,0
MSTRG.540,312,455,330,4072,4165,1512
MSTRG.544,2,0,10,3,4,0
MSTRG.545,31,94,102,102,116,51
MSTRG.542,656,954,782,372,187,215
gene-QOZ80_1AG0008500,4,6,3,0,0,2
MSTRG.547,15,42,9,223,194,130
MSTRG.546,967,987,1340,1107,926,655
MSTRG.548,163,152,167,472,543,302
MSTRG.549,36,13,0,123,127,53
MSTRG.551,102,132,179,507,582,354
MSTRG.550,456,634,647,2252,1739,1254
MSTRG.553,122,291,130,688,722,537
MSTRG.554,26,38,9,569,421,11
MSTRG.555,46,15,20,158,197,31
MSTRG.556,19,10,0,280,166,40
MSTRG.557,8,19,14,669,418,317
MSTRG.558,2,23,0,190,177,98
MSTRG.559,932,1452,1604,1189,991,935
MSTRG.560,70,59,39,2,20,11
MSTRG.562,10,0,0,0,0,0
MSTRG.561,19,59,38,48,62,63
MSTRG.566,3,0,10,4,2,4
MSTRG.568,20,10,9,3,6,0
MSTRG.563,251,346,452,278,278,193
MSTRG.570,40,54,41,355,288,97
MSTRG.569,48,10,12,172,152,36
gene-QOZ80_1AG0009010,26,22,24,2,6,9
MSTRG.571,1253,1835,1578,2927,2419,1680
MSTRG.572,163,348,228,101,66,60
MSTRG.573,70,134,113,415,807,306
MSTRG.575,234,407,351,49,64,69
MSTRG.578,29,14,43,177,170,112
MSTRG.579,0,0,2,4,6,1
MSTRG.580,0,0,0,3,4,4
MSTRG.577,619,601,525,1185,1036,727
MSTRG.583,13,0,0,6,5,5
MSTRG.582,169,210,334,116,104,79
MSTRG.584,37,34,55,421,345,255
MSTRG.581,444,812,784,986,902,416
MSTRG.586,27,0,55,304,314,208
MSTRG.585,1427,1631,1930,2062,2266,1302
MSTRG.587,97,48,112,680,517,340
MSTRG.590,159,54,15,65,57,28
MSTRG.591,23,115,82,195,121,82
MSTRG.592,354,498,375,924,691,399
MSTRG.593,389,900,948,988,1051,730
MSTRG.597,16,0,26,93,48,46
MSTRG.595,0,4,0,1,0,0
MSTRG.594,56,62,66,177,207,129
MSTRG.600,4,38,16,304,184,85
MSTRG.602,3,40,18,466,562,245
MSTRG.601,0,0,0,228,209,137
MSTRG.598,82,105,76,157,109,91
MSTRG.603,32,17,12,28,23,2
MSTRG.604,162,255,218,629,589,493
MSTRG.606,84,126,117,103,76,43
MSTRG.605,540,800,665,139,202,146
MSTRG.608,0,0,0,0,0,0
MSTRG.607,8,27,0,1,0,2
MSTRG.609,191,303,330,1718,1200,716
MSTRG.610,36,27,73,302,227,141
MSTRG.613,1,0,8,18,11,4
MSTRG.611,23,72,72,268,184,137
MSTRG.612,6,11,2,41,45,31
MSTRG.615,217,315,289,873,677,392
MSTRG.622,2,29,0,5,5,0
MSTRG.623,46,0,48,249,218,150
MSTRG.618,0,0,17,6,0,0
MSTRG.619,38,169,109,364,295,220
MSTRG.620,0,21,0,0,0,0
MSTRG.624,83,111,71,902,705,479
MSTRG.625,745,1196,1123,4713,3182,2267
MSTRG.626,1315,1860,1782,8595,5651,3481
MSTRG.627,322,170,168,16767,13422,6203
MSTRG.628,22,49,12,348,277,171
MSTRG.631,0,15,0,0,0,0
MSTRG.630,29,0,19,449,478,234
MSTRG.629,507,797,676,1727,1514,1134
MSTRG.632,147,237,193,1463,1053,704
MSTRG.633,2991,4495,5143,12257,10031,6317
MSTRG.634,85,32,49,176,332,220
MSTRG.636,209,189,299,1196,886,441
MSTRG.637,100,139,78,34,21,17
MSTRG.641,15,14,26,6,7,7
MSTRG.639,111,294,187,557,429,343
MSTRG.642,2,3,37,13,6,16
MSTRG.644,58,49,41,263,177,72
MSTRG.645,40,47,142,416,264,248
MSTRG.646,98,103,109,407,439,239
MSTRG.647,8,22,4,287,251,124
MSTRG.650,19,0,14,54,27,67
MSTRG.652,12,0,0,0,0,0
gene-QOZ80_1AG0010290,4,8,11,5,5,0
MSTRG.653,10,0,0,0,0,0
MSTRG.655,9,0,0,6,12,3
MSTRG.648,213,223,307,896,833,456
MSTRG.657,67,41,62,344,327,121
MSTRG.656,413,591,663,1443,1273,775
MSTRG.658,291,529,648,1386,1134,831
MSTRG.660,9,0,0,3,4,0
MSTRG.659,136,0,43,19514,17378,5050
MSTRG.661,46,30,50,249,261,133
MSTRG.662,212,211,206,868,626,370
MSTRG.663,103,118,185,1014,715,496
MSTRG.664,9,0,0,0,0,0
MSTRG.665,18,56,6,9,10,9
MSTRG.666,8,5,15,35,36,22
MSTRG.667,379,393,376,741,636,619
MSTRG.668,387,432,347,648,315,164
MSTRG.669,109,60,100,281,281,185
MSTRG.670,100,199,166,1609,1458,977
MSTRG.671,65,103,141,358,407,277
MSTRG.672,39,54,31,234,404,283
MSTRG.673,93,89,47,329,195,73
MSTRG.675,13,39,36,582,332,119
MSTRG.676,0,0,16,12,0,0
MSTRG.677,5,14,8,48,52,20
MSTRG.678,33,25,6,34,47,10
gene-QOZ80_1AG0010700,10,0,2,59,43,23
MSTRG.674,712,928,935,2594,2080,1353
MSTRG.679,131,215,286,1043,543,413
MSTRG.682,115,147,143,302,275,183
MSTRG.680,1065,1242,1404,842,808,599
MSTRG.681,16,41,0,7,14,14
MSTRG.683,34,105,50,393,349,226
MSTRG.686,0,0,0,106,140,108
MSTRG.684,42,113,33,92,82,28
MSTRG.687,499,317,236,1042,782,425
MSTRG.689,3,0,28,63,56,38
MSTRG.690,43,0,29,6,5,11
MSTRG.688,45,171,119,293,213,185
MSTRG.691,206,295,258,687,692,510
MSTRG.693,575,821,1047,2676,2204,1502
MSTRG.694,112,123,89,603,566,445
MSTRG.696,10,37,0,129,89,69
MSTRG.695,145,356,268,1278,831,536
MSTRG.697,53,28,39,103,60,70
MSTRG.698,306,602,562,1576,1225,844
MSTRG.699,42,63,46,95,70,96
MSTRG.700,41,87,82,257,266,133
MSTRG.701,134,157,159,589,495,405
MSTRG.702,439,697,620,779,668,684
MSTRG.703,108,165,100,247,248,168
MSTRG.706,31,131,108,250,235,122
MSTRG.707,219,320,302,1307,1166,749
MSTRG.709,50,46,38,71,72,85
MSTRG.710,174,261,362,1384,953,693
MSTRG.711,266,429,504,1056,920,509
MSTRG.712,170,45,38,2028,1677,235
MSTRG.713,74,54,70,304,209,152
MSTRG.716,0,8,0,8,28,22
MSTRG.715,21,0,13,344,266,70
MSTRG.717,45,65,27,119,115,79
gene-QOZ80_1AG0011360,0,0,0,48,48,20
MSTRG.718,257,206,274,1101,869,461
MSTRG.719,28,12,15,4,9,7
