gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
gene-QOZ80_1AG0000050,2,14,4,35,23,16
MSTRG.1,266,434,333,1216,991,704
MSTRG.3,5,31,8,140,106,73
MSTRG.2,86,89,137,801,637,138
MSTRG.6,314,471,488,765,501,327
MSTRG.9,28,0,33,218,195,148
MSTRG.8,53,68,93,392,228,188
MSTRG.7,9,13,8,22,39,15
MSTRG.11,16,18,9,4,15,11
MSTRG.10,235,264,274,2761,1930,1352
MSTRG.12,76,154,160,104,72,61
MSTRG.13,19,43,11,369,260,165
MSTRG.14,193,353,199,473,376,212
MSTRG.19,129,88,120,781,657,461
MSTRG.20,0,10,14,134,122,34
MSTRG.18,293,317,242,836,784,486
MSTRG.21,136,76,123,1439,1581,884
MSTRG.22,5,8,4,129,111,61
MSTRG.23,18,12,25,123,118,86
MSTRG.24,341,424,409,1099,1160,1052
MSTRG.25,306,516,480,467,301,177
MSTRG.27,19,62,71,48,50,22
MSTRG.28,2,25,1,6,3,6
MSTRG.29,33,39,48,503,411,294
MSTRG.30,13,37,45,40,35,23
MSTRG.26,1362,1805,1850,2325,1467,1384
MSTRG.31,770,882,985,183,248,245
MSTRG.32,211,144,191,407,337,259
MSTRG.33,0,0,10,48,51,33
MSTRG.34,81,198,92,564,346,160
MSTRG.35,0,0,11,42,44,38
MSTRG.36,1414,1219,1859,317,576,403
MSTRG.39,0,14,7,9,14,7
MSTRG.37,258,312,359,1017,907,586
MSTRG.17,95,64,89,287,298,176
MSTRG.15,55238,77286,86437,18286,21623,20634
MSTRG.16,18,67,21,6,10,3
MSTRG.41,43,33,36,241,181,154
MSTRG.40,1292,1758,1589,3571,2494,1883
MSTRG.42,225,297,240,847,696,604
MSTRG.43,107,73,116,665,607,342
MSTRG.44,40,22,35,51,92,31
MSTRG.46,20,34,82,328,238,114
MSTRG.47,5,67,55,171,154,104
MSTRG.45,469,443,582,1529,1185,817
MSTRG.48,78,29,56,201,162,132
MSTRG.49,40,0,11,8,21,7
MSTRG.50,161,198,247,1265,1076,870
MSTRG.51,1113,1933,1716,1669,1676,1302
MSTRG.52,142,208,187,261,348,159
MSTRG.55,4,0,8,20,9,14
MSTRG.54,13,0,0,27,10,0
MSTRG.56,26,54,83,122,77,72
MSTRG.53,464,503,838,707,728,444
MSTRG.57,657,793,968,2014,1638,1048
MSTRG.58,136,216,253,1496,1323,781
MSTRG.60,1476,2410,2921,2596,2444,2758
MSTRG.62,46,27,97,12,27,6
MSTRG.61,1029,761,778,280,420,259
MSTRG.63,195,179,321,241,284,220
MSTRG.64,95,73,123,207,138,114
MSTRG.66,642,521,358,61,176,179
MSTRG.67,247,66,66,494,616,424
MSTRG.68,326,551,432,354,188,127
MSTRG.70,51,119,61,259,244,173
MSTRG.69,221,271,323,300,223,114
