DRR095904	DRR095905	DRR095906	DRR095907	DRR095908	DRR095909
DRR095904	0	509.79986582715	483.706988482577	597.656759584204	577.726693652343	570.308149246881
DRR095905	509.79986582715	0	493.795815218093	612.215930916847	598.218409143105	590.230431545364
DRR095906	483.706988482577	493.795815218093	0	569.542545076724	554.136689919628	539.913812535131
DRR095907	597.656759584204	612.215930916847	569.542545076724	0	252.48403821471	303.951482524177
DRR095908	577.726693652343	598.218409143105	554.136689919628	252.48403821471	0	290.001521021862
DRR095909	570.308149246881	590.230431545364	539.913812535131	303.951482524177	290.001521021862	0
