transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	stat	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	zero_in_all_controls	ctrl_raw_sum	drt_raw_sum	ctrl_n_nonzero	rank_by_padj
rna-ELECO.r07.1BG0049580.1	6504.3836728589	8.03612535767052	0.329586300782358	24.3824617060682	2.62504294659905e-131	1.55315714095046e-127	8.00974556248326	0.329687168625523	FALSE	FALSE	102	65061	3	13
MSTRG.2906.1	1458.00984208201	4.81158059498664	0.222742140738257	21.6015729176308	1.73602698867852e-103	5.56374949534108e-100	4.79309940769148	0.22311501936319	FALSE	FALSE	205	13599	3	24
rna-ELECO.r07.7BG0591310.1	991.637812942073	5.72210805313653	0.269905210577894	21.2004356673401	9.46165499623084e-100	2.79908506671188e-96	5.69871341023286	0.269814382515131	FALSE	FALSE	76	9546	3	26
rna-ELECO.r07.6AG0547740.1	2968.38719567262	6.92372857647391	0.339077526627622	20.4193083668373	1.12647693366285e-92	2.62561291838016e-89	6.89326250777651	0.339460005924977	FALSE	FALSE	100	27634	3	33
rna-ELECO.r07.8AG0620620.1	1278.52213035771	2.39411268374978	0.121130671979146	19.7647106602526	5.99410352867984e-87	1.12450844174504e-83	2.38529524288291	0.121212357815109	FALSE	FALSE	839	10510	3	41
rna-ELECO.r07.8BG0655170.1	2127.25663431873	5.70654646614006	0.295911848678103	19.2846163194625	7.23246048991186e-83	1.26431628068762e-79	5.67826477020381	0.296484477862082	FALSE	FALSE	164	20555	3	44
MSTRG.13407.1	2689.5053279076	5.9119032744952	0.322202381998583	18.3484157932799	3.39878408451663e-75	4.75316864415938e-72	5.87937736011341	0.32306713135987	FALSE	FALSE	179	26792	3	55
MSTRG.13020.1	718.935530798815	3.46840166116392	0.192609608631067	18.0074176247741	1.70394536887649e-72	2.18437276563122e-69	3.45041844727299	0.193016261124807	FALSE	FALSE	243	6489	3	60
MSTRG.29687.1	10016.0417007149	2.83955327952684	0.162991373293375	17.4214942923132	5.66773995679071e-68	6.2277936322353e-65	2.81325209296562	0.163502783880681	FALSE	FALSE	5023	85940	3	70
MSTRG.31666.1	923.507428578217	3.8379876233541	0.225699733779143	17.0048389472614	7.56126946988358e-65	7.45628415147482e-62	3.81500093456035	0.226357968385503	FALSE	FALSE	245	8511	3	78
rna-ELECO.r07.2AG0137990.1	2301.27423011179	3.62140828082322	0.214387476180948	16.8918835434523	5.16281554109858e-64	4.96385353718349e-61	3.60090153094935	0.21489025650241	FALSE	FALSE	714	20836	3	80
rna-ELECO.r07.8BG0647870.1	560.777070528021	3.41974379444806	0.203310944137887	16.820264196544	1.73383804248313e-63	1.64643976189722e-60	3.3994775828735	0.203713481370437	FALSE	FALSE	196	4977	3	81
rna-ELECO.r07.3BG0266500.1	6135.39043719524	4.08818907960425	0.259846948635411	15.7330655644541	8.97581133527998e-56	6.45226617267038e-53	4.05889951289179	0.260796018183723	FALSE	FALSE	1391	56195	3	107
rna-ELECO.r07.3BG0285660.1	409.495400169552	5.36147646874421	0.340846923650038	15.729866097454	9.44105190234279e-56	6.72386471456019e-53	5.32236614989447	0.340794117594101	FALSE	FALSE	40	3967	3	108
MSTRG.42112.1	332.174565045617	4.55197532443382	0.293825010590707	15.4921302147918	3.9208096639069e-54	2.64541155191866e-51	4.51808015933025	0.293762386620739	FALSE	FALSE	56	3141	3	114
rna-ELECO.r07.4BG0331110.1	324.458086612439	4.17749434434508	0.26983995545894	15.4813779791805	4.6343873990271e-54	3.09967978757363e-51	4.14684262742767	0.26991401037829	FALSE	FALSE	70	3035	3	115
rna-ELECO.r07.1BG0052040.1	2673.63076923367	4.377615089696	0.290604795965207	15.0638088237887	2.80169840334303e-51	1.65767873915335e-48	4.34588902048633	0.291675872611229	FALSE	FALSE	493	24831	3	130
rna-ELECO.r07.7BG0592070.1	650.220419228108	3.05987282042172	0.203525563790039	15.0343414529408	4.37376260917085e-51	2.54861135310299e-48	3.03805137469272	0.20403197741151	FALSE	FALSE	284	5748	3	132
rna-ELECO.r07.2BG0182760.1	753.4444684637	2.42560461923514	0.163532506230321	14.8325533262414	9.02343484446065e-50	5.14115213282504e-47	2.40950885596343	0.163819806810733	FALSE	FALSE	483	6193	3	135
rna-ELECO.r07.6BG0489850.1	8366.64555528248	3.52366244896254	0.245446252223208	14.3561468836694	9.74991528308962e-47	4.83828537954454e-44	3.49329299493338	0.246346891110562	FALSE	FALSE	2693	74779	3	155
rna-ELECO.r07.1BG0083580.1	620.224614995023	2.48551117896041	0.173441646222573	14.3305326782405	1.41034674568207e-46	6.77997753985176e-44	2.46771931582354	0.173735633257883	FALSE	FALSE	385	5136	3	160
MSTRG.38270.1	20516.796330094	5.89367473973746	0.415439593915303	14.1865985478	1.10909287356985e-45	5.1082692548726e-43	5.83884000459519	0.41730859775689	FALSE	FALSE	1340	200913	3	167
rna-ELECO.r07.1AG0004510.1	313.441608979594	2.90020678976834	0.206541210066503	14.0417826971892	8.65087819554643e-45	3.82413562164853e-42	2.87688058826213	0.206844580212741	FALSE	FALSE	152	2682	3	174
MSTRG.23869.1	394.176725712133	2.82876716010981	0.205326215908811	13.7769409891921	3.50825565918978e-43	1.48266209086758e-40	2.80531921615043	0.205772273876716	FALSE	FALSE	199	3413	3	182
rna-ELECO.r07.3BG0292210.1	361.766022134067	3.68285905819448	0.267767924101038	13.7539216863212	4.82419864330238e-43	2.02766604943655e-40	3.64943450218515	0.268171327506581	FALSE	FALSE	108	3265	3	183
rna-ELECO.r07.5AG0392300.1	885.7885626704	3.41310730554691	0.250296698085429	13.6362458300668	2.43791602701777e-42	9.97431846011307e-40	3.38195298845591	0.251231810575423	FALSE	FALSE	308	8015	3	188
rna-ELECO.r07.1AG0004380.1	445.549509918079	4.76254619703208	0.355614795278525	13.3924298433701	6.6953917169322e-41	2.54945269649145e-38	4.71442513323351	0.357428924582346	FALSE	FALSE	64	4174	3	202
rna-ELECO.r07.2BG0192880.1	2799.67116604058	5.57245481566643	0.41761568357454	13.3434998608519	1.29246217478723e-40	4.84938112673705e-38	5.51459054278982	0.419640182973314	FALSE	FALSE	234	27814	3	205
rna-ELECO.r07.3BG0285390.1	539.950404373203	5.61007618588137	0.42087508339501	13.3295517060012	1.55831234749712e-40	5.81848110837069e-38	5.55141316633758	0.42279089192575	FALSE	FALSE	44	5204	3	206
MSTRG.45758.1	535.802250918669	3.14335492079964	0.236445576528879	13.2942005807231	2.50132266517297e-40	9.24972285755333e-38	3.11429744897577	0.237045623715066	TRUE	FALSE	224	4711	3	208
MSTRG.6647.1	356.99811392159	3.35525564615868	0.252557483543391	13.2851167151506	2.82417738120533e-40	1.03936484033574e-37	3.323521714475	0.253064076877937	TRUE	FALSE	131	3117	3	209
MSTRG.20738.1	545.587364548873	2.5871256073749	0.195049060771668	13.2639736748258	3.745130789024e-40	1.36523329336189e-37	2.5649764742846	0.195417797863398	TRUE	FALSE	320	4502	3	211
rna-ELECO.r07.1BG0056440.1	427.759123687995	3.08343172248814	0.233525794936629	13.2038164063413	8.34002932742024e-40	2.88959475575308e-37	3.05465914403141	0.234265061579185	FALSE	FALSE	184	3789	3	222
rna-ELECO.r07.2BG0156650.1	3847.94818907608	1.97315804631302	0.1495372918978	13.195090142876	9.36427921965278e-40	3.22992046967728e-37	1.95834645073559	0.149693697304325	FALSE	FALSE	3211	29899	3	223
rna-ELECO.r07.1AG0001160.1	2493.72813376609	7.60223977448852	0.576504767912406	13.1867769316413	1.04560897718313e-39	3.57444914213312e-37	7.51897674968285	0.579537615286278	FALSE	FALSE	52	25597	3	225
rna-ELECO.r07.5AG0405850.1	322.955095985642	4.50101154341855	0.341786934044638	13.1690567867954	1.322393947671e-39	4.4808182939652e-37	4.45440102460365	0.342709562103286	FALSE	FALSE	56	3093	3	227
MSTRG.23273.1	1119.89883955236	1.61275902896618	0.122856832929288	13.1271414907335	2.30182488968717e-39	7.59868948669819e-37	1.60252201612085	0.122874788958061	FALSE	FALSE	1134	8237	3	233
MSTRG.24174.1	3826.03753307697	4.51222916319024	0.343777134509074	13.1254487580562	2.35384238294937e-39	7.73720062262036e-37	4.46450084435754	0.345407525647169	FALSE	FALSE	645	36828	3	234
rna-ELECO.r07.3BG0282290.1	331.462996720206	2.58182030517046	0.196819690741115	13.117693130442	2.60751967217004e-39	8.53457832443843e-37	2.55917309210804	0.197096670642359	FALSE	FALSE	195	2780	3	235
rna-ELECO.r07.5BG0446520.1	524.28090374428	2.82637496042116	0.215938659993712	13.0887862344958	3.81657928738649e-39	1.24389758071147e-36	2.80040854441772	0.216600328045554	FALSE	FALSE	264	4411	3	236
rna-ELECO.r07.6AG0542110.1	544.681335656752	3.9285418419867	0.301106599931416	13.0470133928699	6.60877341699963e-39	2.13582783577882e-36	3.88594012625937	0.302228525015706	FALSE	FALSE	138	4893	3	238
MSTRG.18769.1	690.122419758198	2.02592384092377	0.155630841755525	13.0174958772389	9.73100220309376e-39	3.09289048122051e-36	2.01023035874442	0.155757887307394	FALSE	FALSE	560	5429	3	242
rna-ELECO.r07.4BG0339430.1	1484.09478997671	2.71076721687919	0.208745166459017	12.9860119056285	1.46883905607759e-38	4.63027433099673e-36	2.6862802224375	0.209209765115707	FALSE	FALSE	813	12344	3	244
rna-ELECO.r07.6AG0534640.1	464.01436850697	4.91622885166729	0.382120407108542	12.8656537578503	7.02450582344452e-38	2.09420121868947e-35	4.86224674917127	0.382776376861722	FALSE	FALSE	62	4428	3	258
MSTRG.9639.1	659.144387455576	2.80416390721228	0.218131730042101	12.8553691233781	8.02419090983562e-38	2.38299881162867e-35	2.77764453203904	0.21866990117845	FALSE	FALSE	339	5735	3	259
rna-ELECO.r07.8BG0644340.1	286.273858979562	3.56402723496479	0.277963889289991	12.8219073494347	1.23621586182531e-37	3.65715444015453e-35	3.52703708276087	0.278941353166643	FALSE	FALSE	91	2553	3	260
rna-ELECO.r07.3AG0212960.1	435.795073984804	3.92583135456077	0.308773887458733	12.7142595731495	4.92754768034708e-37	1.41422457063155e-34	3.88348615836053	0.309418831443691	FALSE	FALSE	112	3957	3	268
rna-ELECO.r07.3BG0295720.1	611.185393294201	3.80057381877256	0.29894574815021	12.713255974669	4.9912128409894e-37	1.42717144271517e-34	3.75738995472775	0.300432377648095	FALSE	FALSE	166	5630	3	269
rna-ELECO.r07.2AG0137610.1	598.380906939316	4.6746297773586	0.367893822220643	12.7064644607025	5.44406518239466e-37	1.5394895648318e-34	4.63148519948664	0.369193130520727	FALSE	FALSE	93	5818	3	272
