transcript_id	log2FC_old	log2FC_new_MLE	in_old_2354	in_new_2422
MSTRG.60.1	-1.275617	-1.266299	False	False
MSTRG.60.3	-2.323021	-2.309969	False	False
MSTRG.60.8	-2.833300	-2.798419	False	False
MSTRG.60.4	0.136863	0.143403	False	False
rna-ELECO.r07.1AG0000900.1	-4.793382	-4.671821	False	False
MSTRG.62.1	-2.971103	-2.918908	False	False
MSTRG.62.2	-11.152104	-7.016857	False	False
rna-ELECO.r07.1AG0000910.1	-2.681839	-2.672493	False	False
MSTRG.63.2	1.168017	1.156750	False	False
MSTRG.63.1	-1.360266	-1.353441	False	False
rna-ELECO.r07.1AG0000940.1	-0.616039	-0.606527	False	False
rna-ELECO.r07.1AG0000960.1	-3.011315	-2.999844	False	False
rna-ELECO.r07.1AG0000970.1	0.672674	0.677652	False	False
rna-ELECO.r07.1AG0000980.1	-2.270416	-2.256794	False	False
MSTRG.70.1	0.343906	0.339776	False	False
MSTRG.69.1	-1.764153	-1.751205	False	False
rna-ELECO.r07.1AG0000990.1	-1.016654	-0.995384	False	False
rna-ELECO.r07.1AG0001030.1	2.267622	2.146393	False	False
rna-ELECO.r07.1AG0001020.1	0.098097	0.107596	False	False
MSTRG.75.1	-25.406019	-6.017260	False	False
MSTRG.73.1	0.955075	0.959262	False	False
MSTRG.73.3	0.258947	0.259617	False	False
MSTRG.73.2	-1.964491	-1.959567	False	False
MSTRG.73.4	-1.984978	-1.963397	False	False
MSTRG.80.1	-3.184949	-2.848716	False	False
MSTRG.82.1	0.708967	0.757415	False	False
MSTRG.77.3	-2.322782	-2.224571	False	False
MSTRG.77.1	-0.603425	-0.612228	False	False
MSTRG.77.2	0.405028	0.408047	False	False
MSTRG.84.1	-3.404535	-3.244998	False	False
MSTRG.85.1	-0.415749	-0.402081	False	False
MSTRG.86.1	0.943124	0.940525	False	False
rna-ELECO.r07.1AG0001170.1	2.274657	2.276744	False	False
rna-ELECO.r07.1AG0001160.1	7.637317	7.602240	False	False
MSTRG.88.1	0.276080	0.282289	False	False
rna-ELECO.r07.1AG0001150.1	2.558017	2.510887	False	False
rna-ELECO.r07.1AG0001180.1	8.650120	3.936904	False	False
MSTRG.91.1	3.863925	3.852782	False	False
rna-ELECO.r07.1AG0001200.1	2.594659	2.569424	False	False
MSTRG.94.1	3.005620	2.982145	False	False
rna-ELECO.r07.1AG0001240.1	9.339409	6.435968	False	False
MSTRG.93.3	-11.491982	-8.237318	False	False
rna-ELECO.r07.1AG0001230.1	8.004788	4.498319	False	False
MSTRG.93.1	-0.171707	-0.162958	False	False
MSTRG.93.2	-1.262457	-1.262721	False	False
rna-ELECO.r07.1AG0001260.1	9.448023	5.635566	False	False
MSTRG.95.1	1.231777	1.233960	False	False
rna-ELECO.r07.1AG0001250.1	0.224935	0.232950	False	False
rna-ELECO.r07.1AG0001280.1	-0.256965	-0.237481	False	False
MSTRG.97.1	0.549854	0.555824	False	False
rna-ELECO.r07.1AG0001300.1	-0.951479	-0.953070	False	False
MSTRG.98.4	-0.778736	-0.779374	False	False
MSTRG.98.2	-2.772882	-2.756968	False	False
MSTRG.98.1	-1.228519	-1.219313	False	False
rna-ELECO.r07.1AG0001340.1	-0.544728	-0.543749	False	False
MSTRG.100.1	2.726982	2.664475	False	False
rna-ELECO.r07.1AG0001330.1	2.124521	2.116760	False	False
MSTRG.100.3	-5.205421	-4.799306	False	False
rna-ELECO.r07.1AG0001350.1	-1.995310	-1.986057	False	False
MSTRG.103.2	-24.023642	-5.953358	False	False
rna-ELECO.r07.1AG0001360.1	-2.790746	-2.717995	False	False
MSTRG.104.1	20.606911	4.975267	False	False
MSTRG.104.2	-0.384211	-0.372038	False	False
MSTRG.106.1	9.825419	6.360086	False	False
MSTRG.106.2	9.842163	6.390087	False	False
rna-ELECO.r07.1AG0001380.1	9.100170	5.517260	False	False
MSTRG.107.1	-3.533288	-3.075219	False	False
MSTRG.108.1	1.258534	1.198495	False	False
MSTRG.109.1	-0.133794	-0.126659	False	False
rna-ELECO.r07.1AG0001400.1	-0.066424	-0.054562	False	False
rna-ELECO.r07.1AG0001410.1	0.354070	0.350434	False	False
rna-ELECO.r07.1AG0001430.1	-1.029121	-1.006288	False	False
MSTRG.112.2	-5.201016	-4.223623	False	False
MSTRG.114.1	0.273955	0.167233	False	False
MSTRG.113.2	-0.823118	-0.823558	False	False
MSTRG.113.3	-3.290961	-3.275625	False	False
MSTRG.113.1	-0.420373	-0.426916	False	False
MSTRG.113.4	-2.344234	-2.331104	False	False
rna-ELECO.r07.1AG0001440.1	-1.892540	-1.854758	False	False
rna-ELECO.r07.1AG0001480.1	-1.466797	-1.460113	False	False
rna-ELECO.r07.1AG0001450.1	-0.812292	-0.804482	False	False
MSTRG.118.1	0.483145	0.492655	False	False
rna-ELECO.r07.1AG0001500.1	-2.493091	-2.342857	False	False
rna-ELECO.r07.1AG0001580.1	-0.097990	0.055266	False	False
rna-ELECO.r07.1AG0001590.1	13.074209	8.227701	False	False
rna-ELECO.r07.1AG0001510.1	0.425087	0.468828	False	False
MSTRG.119.1	-2.026179	-2.021069	False	False
rna-ELECO.r07.1AG0001660.1	1.515471	1.027173	False	False
rna-ELECO.r07.1AG0001640.1	6.775877	3.331873	False	False
MSTRG.121.3	8.362102	4.393683	False	False
rna-ELECO.r07.1AG0001650.1	0.903575	0.607420	False	False
MSTRG.121.1	-0.752955	-0.748634	False	False
MSTRG.121.4	-1.279328	-1.210153	False	False
MSTRG.124.1	0.134696	0.137716	False	False
MSTRG.123.1	0.641246	0.642746	False	False
MSTRG.123.3	-25.030893	-22.183822	False	False
MSTRG.126.2	10.944441	8.172131	False	False
rna-ELECO.r07.1AG0001760.1	-1.234266	-1.247906	False	False
rna-ELECO.r07.1AG0001780.1	-2.121897	-2.147353	False	False
rna-ELECO.r07.1AG0001770.1	-1.027594	-1.012851	False	False
MSTRG.125.4	-2.294815	-2.276707	False	False
rna-ELECO.r07.1AG0001730.1	-0.249662	-0.236426	False	False
MSTRG.125.6	6.775131	4.521305	False	False
MSTRG.125.7	10.128670	8.324769	False	False
MSTRG.125.1	-2.615702	-2.605257	False	False
MSTRG.125.2	-2.487580	-2.476413	False	False
MSTRG.125.3	-2.564173	-2.534854	False	False
MSTRG.125.5	-2.148321	-2.115597	False	False
rna-ELECO.r07.1AG0001790.1	0.808684	0.812004	False	False
rna-ELECO.r07.1AG0001800.1	0.405342	0.406896	False	False
MSTRG.130.1	1.235428	1.232811	False	False
rna-ELECO.r07.1AG0001810.1	-0.834728	-0.842507	False	False
rna-ELECO.r07.1AG0001820.1	9.881613	6.464721	False	False
MSTRG.131.1	0.376376	0.373899	False	False
rna-ELECO.r07.1AG0001840.1	5.678832	3.645879	False	False
rna-ELECO.r07.1AG0001830.1	0.202384	0.209621	False	False
MSTRG.133.1	-4.426372	-2.908417	False	False
rna-ELECO.r07.1AG0001870.1	-3.254219	-3.212150	False	False
MSTRG.134.2	-3.794291	-3.726799	False	False
rna-ELECO.r07.1AG0001890.1	-2.690958	-2.671830	False	False
rna-ELECO.r07.1AG0001900.1	-1.096813	-1.125112	False	False
MSTRG.138.2	-24.522171	-6.214303	False	False
rna-ELECO.r07.1AG0001960.1	-2.570433	-2.580781	False	False
rna-ELECO.r07.1AG0002040.1	1.649211	1.609062	False	False
MSTRG.139.2	-0.463845	-0.455253	False	False
MSTRG.139.1	-0.076347	-0.077195	False	False
rna-ELECO.r07.1AG0002010.1	-1.594658	-1.587309	False	False
rna-ELECO.r07.1AG0002060.1	8.113377	4.930750	False	False
MSTRG.142.1	0.894750	0.891411	False	False
MSTRG.141.2	-1.567946	-1.529832	False	False
MSTRG.141.1	0.730360	0.724699	False	False
rna-ELECO.r07.1AG0002050.1	-25.221734	-7.605418	False	False
rna-ELECO.r07.1AG0002070.1	-0.663177	-0.656812	False	False
MSTRG.144.1	0.985960	0.907820	False	False
rna-ELECO.r07.1AG0002080.1	-2.321039	-2.281805	False	False
MSTRG.147.2	2.931528	2.895484	False	False
MSTRG.147.1	1.025406	1.005668	False	False
MSTRG.147.3	0.272230	0.276099	False	False
MSTRG.148.1	-0.052427	-0.049129	False	False
rna-ELECO.r07.1AG0002200.1	-0.850955	-0.811249	False	False
MSTRG.150.2	10.436165	8.023157	False	False
rna-ELECO.r07.1AG0002170.1	10.323927	7.617734	False	False
MSTRG.150.1	0.973473	0.977341	False	False
rna-ELECO.r07.1AG0002160.1	-0.270770	-0.261951	False	False
rna-ELECO.r07.1AG0002210.1	10.263102	6.404671	False	False
MSTRG.151.1	10.243833	4.967511	True	True
MSTRG.152.3	-1.446069	-1.401997	False	False
rna-ELECO.r07.1AG0002220.1	9.926761	6.855038	False	False
MSTRG.152.1	0.458922	0.460257	False	False
MSTRG.152.2	2.762129	2.741361	False	False
MSTRG.153.1	-2.814140	-2.678053	False	False
MSTRG.154.1	-1.574112	-1.670856	False	False
rna-ELECO.r07.1AG0002230.1	-0.983260	-0.972720	False	False
MSTRG.157.1	-2.884310	-2.862760	False	False
MSTRG.156.3	7.838077	5.974516	False	False
MSTRG.156.6	-4.426781	-3.677236	False	False
rna-ELECO.r07.1AG0002240.1	-1.081531	-1.071665	False	False
MSTRG.156.1	0.457080	0.379180	False	False
rna-ELECO.r07.1AG0002250.1	-10.399250	-7.856284	False	False
MSTRG.156.5	0.339961	0.350959	False	False
MSTRG.159.1	10.099533	6.771685	True	True
rna-ELECO.r07.1AG0002350.1	1.430586	1.420802	False	False
MSTRG.162.1	1.657711	1.628808	False	False
MSTRG.161.2	-24.895811	-22.186306	False	False
MSTRG.161.1	0.135044	0.142864	False	False
MSTRG.163.1	-5.313733	-5.243689	False	False
rna-ELECO.r07.1AG0002510.1	-0.341177	-0.334692	False	False
rna-ELECO.r07.1AG0002520.1	-2.032460	-1.870443	False	False
MSTRG.167.1	-4.697707	-4.660034	False	False
rna-ELECO.r07.1AG0002570.1	-4.202236	-4.196113	False	False
rna-ELECO.r07.1AG0002580.1	0.460352	0.462053	False	False
MSTRG.170.1	-2.996018	-2.899996	False	False
MSTRG.171.2	-2.406397	-2.421566	False	False
MSTRG.171.1	0.201321	0.209801	False	False
MSTRG.174.1	0.477953	0.460006	False	False
MSTRG.175.1	-0.197285	-0.077160	False	False
MSTRG.177.1	-3.203995	-2.914194	False	False
rna-ELECO.r07.1AG0002670.1	-0.945040	-0.948991	False	False
MSTRG.179.1	-1.445293	-1.382069	False	False
rna-ELECO.r07.1AG0002710.1	0.951141	0.950756	False	False
MSTRG.180.1	0.947289	0.956934	False	False
rna-ELECO.r07.1AG0002720.1	-1.961686	-1.923458	False	False
rna-ELECO.r07.1AG0002750.1	2.053191	2.066324	False	False
MSTRG.184.1	1.033840	1.044377	False	False
rna-ELECO.r07.1AG0002780.1	-0.780857	-0.768372	False	False
rna-ELECO.r07.1AG0002880.1	-4.000503	-3.452110	False	False
MSTRG.185.2	0.379924	0.379793	False	False
MSTRG.185.1	-0.217847	-0.210287	False	False
rna-ELECO.r07.1AG0002870.1	-3.581005	-3.492710	False	False
rna-ELECO.r07.1AG0002900.1	-1.370439	-1.528527	False	False
rna-ELECO.r07.1AG0002890.1	0.392100	0.394664	False	False
MSTRG.187.1	0.437698	0.447002	False	False
rna-ELECO.r07.1AG0002930.1	2.903726	2.853630	False	False
MSTRG.189.3	2.384481	2.370219	False	False
rna-ELECO.r07.1AG0002950.1	9.604310	7.140671	False	False
MSTRG.189.2	0.319740	0.326196	False	False
rna-ELECO.r07.1AG0003010.1	-1.592858	-1.586586	False	False
rna-ELECO.r07.1AG0003020.1	-2.121553	-2.073205	False	False
MSTRG.192.1	-0.806678	-0.796053	False	False
MSTRG.192.2	1.255122	1.239096	False	False
rna-ELECO.r07.1AG0003030.1	0.214072	0.153276	False	False
rna-ELECO.r07.1AG0003050.1	-2.722599	-2.706244	False	False
rna-ELECO.r07.1AG0003060.1	-0.193335	-0.204766	False	False
rna-ELECO.r07.1AG0003040.1	-0.949448	-0.941334	False	False
MSTRG.193.2	1.889219	1.896119	False	False
MSTRG.193.3	-0.683100	-0.681175	False	False
rna-ELECO.r07.1AG0003080.1	-0.836748	-0.827044	False	False
rna-ELECO.r07.1AG0003090.1	-0.761735	-0.750810	False	False
rna-ELECO.r07.1AG0003120.1	0.056544	0.041881	False	False
rna-ELECO.r07.1AG0003140.1	-0.192730	-0.197286	False	False
rna-ELECO.r07.1AG0003150.1	0.123303	0.126007	False	False
MSTRG.204.1	-2.707509	-2.401491	False	False
MSTRG.202.1	-2.252723	-2.233445	False	False
MSTRG.202.2	1.089003	1.077440	False	False
MSTRG.206.1	8.240718	4.040916	False	False
rna-ELECO.r07.1AG0003250.1	-2.782762	-2.773224	False	False
rna-ELECO.r07.1AG0003280.1	9.405826	5.874279	False	False
rna-ELECO.r07.1AG0003270.1	0.102713	0.110821	False	False
MSTRG.208.1	0.104272	0.112585	False	False
rna-ELECO.r07.1AG0003290.1	1.220434	1.223207	False	False
MSTRG.209.1	-0.452086	-0.444152	False	False
rna-ELECO.r07.1AG0003300.1	1.061807	1.012494	False	False
rna-ELECO.r07.1AG0003340.1	0.444262	0.443657	False	False
MSTRG.212.1	-25.430262	-5.427241	False	False
rna-ELECO.r07.1AG0003370.1	-1.905586	-1.885753	False	False
rna-ELECO.r07.1AG0003350.1	1.589109	1.593821	False	False
rna-ELECO.r07.1AG0003380.1	-2.047798	-2.038618	False	False
MSTRG.215.1	2.748452	2.752622	False	False
rna-ELECO.r07.1AG0003410.1	-1.301420	-1.292450	False	False
MSTRG.216.3	-11.868511	-10.527384	False	False
MSTRG.216.1	0.970394	0.979529	False	False
MSTRG.217.1	0.145233	0.154376	False	False
MSTRG.217.2	1.450766	1.433668	False	False
rna-ELECO.r07.1AG0003420.1	0.442543	0.444624	False	False
MSTRG.218.2	10.424940	7.678516	False	False
MSTRG.218.5	1.943210	1.790371	False	False
rna-ELECO.r07.1AG0003440.1	5.881547	5.274264	False	False
MSTRG.218.1	-0.892485	-0.879364	False	False
MSTRG.218.3	-0.386458	-0.387056	False	False
MSTRG.218.4	0.234328	0.239408	False	False
rna-ELECO.r07.1AG0003430.1	-2.554491	-2.484327	False	False
MSTRG.220.1	-1.500695	-1.436735	False	False
MSTRG.222.1	-3.006890	-2.426590	False	False
rna-ELECO.r07.1AG0003450.1	-0.755247	-0.745791	False	False
