baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	transcript_id	drought_up
145.81648542132	0.844844949029468	0.989487049962438	0.853821127887968	0.393204106101849	0.569250713022767	rna-ELECO.r07.1AG0000050.1	FALSE
1165.13373469919	0.22822065190075	1.85964112821865	0.122722953605227	0.902326486911277	0.946843117197575	MSTRG.1.3	FALSE
2127.17155461762	0.0293460478945604	0.368531507002415	0.0796296852154031	0.936531784789423	0.966186512480996	MSTRG.1.1	FALSE
1223.70678157571	0.269865645576395	1.43758585349199	0.187721411504485	0.851095044703632	0.915868990066126	MSTRG.1.2	FALSE
3250.82486459352	0.46828305293798	0.885025414994392	0.529118198194283	0.596723458044843	0.742890577611389	rna-ELECO.r07.1AG0000010.1	FALSE
712.035950505997	1.71373141102507	0.801761372629873	2.13745818834328	0.0325607429996788	0.086198515444825	rna-ELECO.r07.1AG0000070.1	FALSE
629.010198997414	2.57651916793683	2.65268301627901	0.971287994881116	0.331404885304064	0.507875705151497	rna-ELECO.r07.1AG0000060.1	FALSE
1132.90790091075	0.387529097391127	0.578224352471299	0.670205424131392	0.502726846603276	0.667779893808519	MSTRG.2.1	FALSE
8245.29596142169	-0.875249837747046	0.293282515873961	-2.98432327320592	0.00284206326273409	0.0105136995163786	MSTRG.6.1	FALSE
1059.02708853829	-1.87609503063602	1.43210080250415	-1.31003001140388	0.19018568312654	0.345540558162201	rna-ELECO.r07.1AG0000100.1	FALSE
773.483857887467	1.91987812301054	1.7636517598864	1.08858118517354	0.276338617486132	0.448944259229942	MSTRG.9.1	FALSE
246.42744705852	2.06566864078937	1.73898008036326	1.18786216364127	0.234887718465249	0.400766262102555	rna-ELECO.r07.1AG0000150.1	FALSE
356.757400653478	0.100520395495123	0.511518382110204	0.196513750063954	0.844208071492338	0.911841316590707	rna-ELECO.r07.1AG0000110.1	FALSE
939.498107510165	0.665903018920543	0.310427624594045	2.14511520935472	0.0319436366793339	0.0848154565977214	MSTRG.8.1	FALSE
318.265567372378	-1.58406245603877	0.822304163416742	-1.92637046790188	0.0540581322051908	0.131112553264737	MSTRG.11.1	FALSE
